Date,Open,High,Low,Close,Volume,Market Cap
"Mar 01, 2014",0.001072,0.001089,0.001041,0.001057,1227770,59172100
"Feb 28, 2014",0.001163,0.001163,0.001066,0.001071,1519040,63750700
"Feb 27, 2014",0.001193,0.001219,0.001122,0.001159,1492960,64970300
"Feb 26, 2014",0.000986,0.001196,0.000984,0.001186,3165270,53321900
"Feb 25, 2014",0.001051,0.001082,0.000823,0.000989,4596380,56495400
"Feb 24, 2014",0.001176,0.001202,0.001058,0.001075,1907020,62802400
"Feb 23, 2014",0.001280,0.001299,0.001173,0.001185,2818150,67881200
"Feb 22, 2014",0.001208,0.001290,0.001193,0.001278,1455000,63620000
"Feb 21, 2014",0.001212,0.001266,0.001130,0.001208,2149320,63418800
"Feb 20, 2014",0.001345,0.001358,0.001212,0.001212,2420130,69869700
"Feb 19, 2014",0.001424,0.001429,0.001344,0.001344,2416530,73485600
"Feb 18, 2014",0.001346,0.001426,0.001310,0.001426,2027290,68956500
"Feb 17, 2014",0.001410,0.001482,0.001333,0.001343,4679940,71737400
"Feb 16, 2014",0.001517,0.001527,0.001366,0.001413,2110320,76647400
"Feb 15, 2014",0.001575,0.001605,0.001370,0.001522,4900070,79014400
"Feb 14, 2014",0.001565,0.001674,0.001459,0.001584,6470210,77942300
"Feb 13, 2014",0.001817,0.001862,0.001572,0.001572,5636470,89197700
"Feb 12, 2014",0.001817,0.001944,0.001747,0.001818,6437240,87842000
"Feb 11, 2014",0.001414,0.001831,0.001385,0.001812,9117540,67385100
"Feb 10, 2014",0.001287,0.001507,0.001079,0.001414,4810030,60361800
"Feb 09, 2014",0.001077,0.001291,0.001056,0.001291,2538170,49773700
"Feb 08, 2014",0.001105,0.001158,0.001058,0.001081,789545,50250600
"Feb 07, 2014",0.001308,0.001308,0.001046,0.001124,1401220,58566400
"Feb 06, 2014",0.001308,0.001374,0.001279,0.001306,1831240,57574800
"Feb 05, 2014",0.001163,0.001326,0.001162,0.001302,2623790,50366800
"Feb 04, 2014",0.001269,0.001289,0.001122,0.001161,2569440,54005800
"Feb 03, 2014",0.001277,0.001363,0.001227,0.001269,1879300,53467700
"Feb 02, 2014",0.001449,0.001496,0.001089,0.001279,2000720,59662500
"Feb 01, 2014",0.001558,0.001572,0.001457,0.001457,1084150,63019600
"Jan 31, 2014",0.001522,0.001560,0.001509,0.001560,1003380,60477400
"Jan 30, 2014",0.001602,0.001603,0.001444,0.001523,2168880,62452400
"Jan 29, 2014",0.001353,0.001602,0.001346,0.001602,2488540,51737400
"Jan 28, 2014",0.001223,0.001403,0.001223,0.001357,2112100,45943000
"Jan 27, 2014",0.001592,0.001675,0.001219,0.001219,1999700,58676000
"Jan 26, 2014",0.001844,0.001870,0.001498,0.001594,4570820,66670100
"Jan 25, 2014",0.001784,0.001909,0.001750,0.001844,3206090,63241800
"Jan 24, 2014",0.001801,0.001908,0.001631,0.001785,4732940,62568300
"Jan 23, 2014",0.001496,0.001922,0.001496,0.001800,5532260,50913700
"Jan 22, 2014",0.001977,0.002038,0.001365,0.001497,5896280,65907400
"Jan 21, 2014",0.001252,0.002335,0.001252,0.001814,13114300,40764900
"Jan 20, 2014",0.000697,0.001341,0.000685,0.001253,9061440,22181200
"Jan 19, 2014",0.000588,0.000753,0.000578,0.000697,3509460,18265900
"Jan 18, 2014",0.000416,0.000646,0.000416,0.000588,2998020,12584500
"Jan 17, 2014",0.000384,0.000422,0.000376,0.000415,716054,11354800
"Jan 16, 2014",0.000413,0.000431,0.000370,0.000384,483679,11924600
"Jan 15, 2014",0.000342,0.000441,0.000341,0.000413,1259190,9604290
"Jan 14, 2014",0.000278,0.000354,0.000276,0.000342,577691,7619940
"Jan 13, 2014",0.000344,0.000344,0.000260,0.000278,391890,9175880
"Jan 12, 2014",0.000359,0.000375,0.000323,0.000345,296158,9321690
"Jan 11, 2014",0.000373,0.000509,0.000334,0.000356,986660,9428560
"Jan 10, 2014",0.000246,0.000374,0.000241,0.000373,570553,6034890
"Jan 09, 2014",0.000227,0.000269,0.000212,0.000246,314644,5415010
"Jan 08, 2014",0.000223,0.000238,0.000203,0.000228,174256,5159610
"Jan 07, 2014",0.000255,0.000284,0.000220,0.000225,212892,5726300
"Jan 06, 2014",0.000271,0.000290,0.000226,0.000255,265529,5899650
"Jan 05, 2014",0.000300,0.000312,0.000247,0.000271,245107,6318730
"Jan 04, 2014",0.000305,0.000321,0.000256,0.000301,313907,6198170
"Jan 03, 2014",0.000353,0.000376,0.000293,0.000303,303106,6940830
"Jan 02, 2014",0.000449,0.000449,0.000331,0.000353,318037,8504140
"Jan 01, 2014",0.000423,0.000451,0.000423,0.000440,307917,7701190
