Date,Open,High,Low,Close,Volume,Market Cap
"Jun 01, 2014",0.000339,0.000431,0.000335,0.000403,1715410,27265900
"May 31, 2014",0.000346,0.000362,0.000334,0.000339,870901,27773400
"May 30, 2014",0.000390,0.000392,0.000341,0.000347,988044,31236600
"May 29, 2014",0.000399,0.000399,0.000388,0.000390,476535,31860500
"May 28, 2014",0.000397,0.000422,0.000394,0.000399,898635,31640600
"May 27, 2014",0.000403,0.000411,0.000394,0.000397,659621,32060900
"May 26, 2014",0.000426,0.000430,0.000398,0.000403,824478,33857500
"May 25, 2014",0.000427,0.000443,0.000405,0.000425,1222410,33802100
"May 24, 2014",0.000412,0.000429,0.000411,0.000427,555017,32611900
"May 23, 2014",0.000423,0.000443,0.000392,0.000413,939662,33350300
"May 22, 2014",0.000457,0.000461,0.000422,0.000422,839516,35965100
"May 21, 2014",0.000466,0.000471,0.000454,0.000456,505630,36668100
"May 20, 2014",0.000444,0.000473,0.000443,0.000466,736828,34836600
"May 19, 2014",0.000448,0.000451,0.000442,0.000444,371681,35116600
"May 18, 2014",0.000452,0.000455,0.000446,0.000449,321137,35346300
"May 17, 2014",0.000452,0.000455,0.000449,0.000453,305748,35231100
"May 16, 2014",0.000452,0.000455,0.000446,0.000451,605567,35134200
"May 15, 2014",0.000456,0.000462,0.000449,0.000455,388013,35413300
"May 14, 2014",0.000449,0.000459,0.000449,0.000456,669458,34788700
"May 13, 2014",0.000453,0.000486,0.000448,0.000449,484512,35051100
"May 12, 2014",0.000457,0.000460,0.000452,0.000454,535210,35280000
"May 11, 2014",0.000478,0.000479,0.000451,0.000456,480690,36800000
"May 10, 2014",0.000495,0.000500,0.000472,0.000478,676349,38002000
"May 09, 2014",0.000471,0.000497,0.000468,0.000494,860285,36076600
"May 08, 2014",0.000472,0.000479,0.000467,0.000471,587545,36096100
"May 07, 2014",0.000457,0.000480,0.000457,0.000473,685166,34895400
"May 06, 2014",0.000454,0.000467,0.000443,0.000457,750721,34542000
"May 05, 2014",0.000468,0.000470,0.000421,0.000454,523194,35531400
"May 04, 2014",0.000463,0.000473,0.000452,0.000468,560527,35085100
"May 03, 2014",0.000482,0.000483,0.000457,0.000462,519009,36495000
"May 02, 2014",0.000504,0.000505,0.000478,0.000482,540769,38013300
"May 01, 2014",0.000501,0.000512,0.000497,0.000504,542606,37752200
"Apr 30, 2014",0.000495,0.000519,0.000471,0.000501,1149250,37234400
"Apr 29, 2014",0.000483,0.000503,0.000478,0.000495,1302450,36185000
"Apr 28, 2014",0.000437,0.000500,0.000429,0.000481,1578900,32620500
"Apr 27, 2014",0.000471,0.000474,0.000437,0.000440,708249,35010200
"Apr 26, 2014",0.000476,0.000484,0.000461,0.000472,998929,35290700
"Apr 25, 2014",0.000587,0.000588,0.000446,0.000476,4732600,43259800
"Apr 24, 2014",0.000568,0.000589,0.000551,0.000586,1031310,41681300
"Apr 23, 2014",0.000588,0.000591,0.000551,0.000570,1276710,42958700
"Apr 22, 2014",0.000621,0.000626,0.000588,0.000588,1014070,45194800
"Apr 21, 2014",0.000629,0.000646,0.000614,0.000621,1021950,45538700
"Apr 20, 2014",0.000646,0.000664,0.000626,0.000629,1089990,46571800
"Apr 19, 2014",0.000613,0.000651,0.000602,0.000646,1622690,43987600
"Apr 18, 2014",0.000644,0.000654,0.000594,0.000617,1511350,45954600
"Apr 17, 2014",0.000710,0.000747,0.000617,0.000643,3792830,50410700
"Apr 16, 2014",0.000592,0.000803,0.000590,0.000708,6425170,41899900
"Apr 15, 2014",0.000461,0.000588,0.000457,0.000587,2503670,32426200
"Apr 14, 2014",0.000388,0.000465,0.000384,0.000461,1416560,27196100
"Apr 13, 2014",0.000420,0.000426,0.000376,0.000389,512104,29314200
"Apr 12, 2014",0.000441,0.000448,0.000417,0.000420,503227,30628900
"Apr 11, 2014",0.000347,0.000440,0.000341,0.000440,1096790,23999700
"Apr 10, 2014",0.000441,0.000445,0.000347,0.000347,862264,30338900
"Apr 09, 2014",0.000450,0.000457,0.000437,0.000441,440661,30826600
"Apr 08, 2014",0.000456,0.000464,0.000443,0.000451,667073,31061000
"Apr 07, 2014",0.000462,0.000471,0.000449,0.000458,782860,31291600
"Apr 06, 2014",0.000467,0.000480,0.000453,0.000460,701008,31539200
"Apr 05, 2014",0.000447,0.000470,0.000436,0.000470,473934,29999100
"Apr 04, 2014",0.000450,0.000486,0.000431,0.000446,1043010,30082400
"Apr 03, 2014",0.000429,0.000449,0.000385,0.000448,1151820,28536700
"Apr 02, 2014",0.000536,0.000547,0.000421,0.000429,1385560,35451100
"Apr 01, 2014",0.000506,0.000554,0.000502,0.000537,845770,33341000
"Mar 31, 2014",0.000531,0.000571,0.000496,0.000505,1377400,34814200
