timeDate,close
2017-12-01,99.32
2017-12-02,100.7
2017-12-03,103.87
2017-12-04,100.49
2017-12-05,98.97
2017-12-06,96.0
2017-12-07,125.24
2017-12-08,155.98
2017-12-09,147.84
2017-12-10,214.54
2017-12-11,328.52
2017-12-12,305.27
2017-12-13,279.81
2017-12-14,300.27
2017-12-15,302.04
2017-12-16,319.57
2017-12-17,357.51
2017-12-18,346.87
2017-12-19,304.81
2017-12-20,307.69
2017-12-21,262.09
2017-12-22,284.11
2017-12-23,272.24
2017-12-24,268.21
2017-12-25,279.49
2017-12-26,264.07
2017-12-27,249.86
2017-12-28,243.13
2017-12-29,212.07
2017-12-30,226.52
2017-12-31,224.34
