timeDate,close
2017-09-01,79.18
2017-09-02,79.04
2017-09-03,68.89
2017-09-04,73.73
2017-09-05,81.44
2017-09-06,80.25
2017-09-07,73.19
2017-09-08,71.09
2017-09-09,67.08
2017-09-10,68.13
2017-09-11,65.89
2017-09-12,61.78
2017-09-13,45.2
2017-09-14,52.0
2017-09-15,52.1
2017-09-16,51.0
2017-09-17,56.16
2017-09-18,52.8
2017-09-19,51.56
2017-09-20,46.46
2017-09-21,47.67
2017-09-22,49.29
2017-09-23,47.5
2017-09-24,52.27
2017-09-25,52.27
2017-09-26,56.9
2017-09-27,54.91
2017-09-28,52.8
2017-09-29,55.41
2017-09-30,54.8
2017-10-01,53.29
2017-10-02,52.15
2017-10-03,51.22
2017-10-04,51.64
2017-10-05,52.08
2017-10-06,52.57
2017-10-07,53.3
2017-10-08,50.08
2017-10-09,50.58
2017-10-10,50.79
2017-10-11,59.72
2017-10-12,59.05
2017-10-13,63.94
2017-10-14,65.57
2017-10-15,64.76
2017-10-16,59.19
2017-10-17,60.55
2017-10-18,59.68
2017-10-19,60.09
2017-10-20,58.09
2017-10-21,56.51
2017-10-22,54.63
2017-10-23,55.56
2017-10-24,56.19
2017-10-25,55.55
2017-10-26,55.02
2017-10-27,54.22
2017-10-28,56.75
2017-10-29,56.22
2017-10-30,55.5
2017-10-31,52.83
2017-11-01,54.19
2017-11-02,55.98
2017-11-03,54.83
2017-11-04,54.6
2017-11-05,54.5
2017-11-06,60.52
2017-11-07,62.38
2017-11-08,64.15
2017-11-09,58.99
2017-11-10,62.14
2017-11-11,58.54
2017-11-12,61.0
2017-11-13,62.13
2017-11-14,63.16
2017-11-15,70.7
2017-11-16,67.36
2017-11-17,69.42
2017-11-18,71.76
2017-11-19,72.38
2017-11-20,69.91
2017-11-21,72.03
2017-11-22,72.94
2017-11-23,77.54
2017-11-24,88.79
2017-11-25,86.24
2017-11-26,90.99
2017-11-27,94.22
2017-11-28,85.41
2017-11-29,85.94
2017-11-30,99.15
2017-12-01,99.32
2017-12-02,100.7
2017-12-03,103.87
2017-12-04,100.49
2017-12-05,98.97
2017-12-06,96.0
2017-12-07,125.24
2017-12-08,155.98
2017-12-09,147.84
2017-12-10,214.54
2017-12-11,328.52
2017-12-12,305.27
2017-12-13,279.81
2017-12-14,300.27
2017-12-15,302.04
2017-12-16,319.57
2017-12-17,357.51
2017-12-18,346.87
2017-12-19,304.81
2017-12-20,307.69
2017-12-21,262.09
2017-12-22,284.11
2017-12-23,272.24
2017-12-24,268.21
2017-12-25,279.49
2017-12-26,264.07
2017-12-27,249.86
2017-12-28,243.13
2017-12-29,212.07
2017-12-30,226.52
2017-12-31,224.34
