timeDate,close,open,volumefrom
2017-06-01,142.91,133.53,19951.6
2017-06-02,140.9,142.91,14064.89
2017-06-03,141.66,140.9,9680.45
2017-06-04,143.89,141.66,16028.73
2017-06-05,140.87,143.89,48908.03
2017-06-06,138.41,140.87,34613.27
2017-06-07,141.22,138.41,11326.26
2017-06-08,144.86,141.22,14973.87
2017-06-09,148.47,144.86,18680.5
2017-06-10,181.73,148.47,111391.04
2017-06-11,167.8,181.73,56150.32
2017-06-12,180.21,167.8,30227.63
2017-06-13,163.26,180.21,60057.41
2017-06-14,161.08,163.26,37316.85
2017-06-15,162.18,161.08,17318.9
2017-06-16,175.27,162.18,38718.38
2017-06-17,187.06,175.27,30549.45
2017-06-18,194.5,187.06,42120.83
2017-06-19,188.17,194.5,24657.12
2017-06-20,178.96,188.17,22007.61
2017-06-21,180.85,178.96,13827.71
2017-06-22,184.69,180.85,10672.86
2017-06-23,177.99,184.69,11784.23
2017-06-24,169.59,177.99,16508.87
2017-06-25,160.72,169.59,29990.32
2017-06-26,172.98,160.72,24172.39
2017-06-27,179.62,172.98,23254.7
2017-06-28,172.13,179.62,21603.24
2017-06-29,173.7,172.13,21017.08
2017-06-30,162.01,173.7,15526.2
2017-07-01,169.78,162.01,16785.9
2017-07-02,178.55,169.78,21028.05
2017-07-03,181.4,178.55,19694.83
2017-07-04,204.92,181.4,56009.5
2017-07-05,207.71,204.92,58509.07
2017-07-06,190.59,207.71,35238.01
2017-07-07,208.1,190.59,30690.29
2017-07-08,195.49,208.1,20954.71
2017-07-09,174.07,195.49,35639.41
2017-07-10,162.62,174.07,45153.25
2017-07-11,177.73,162.62,28378.64
2017-07-12,167.74,177.73,24955.99
2017-07-13,159.51,167.74,27812.33
2017-07-14,141.88,159.51,39573.38
2017-07-15,131.35,141.88,63915.75
2017-07-16,149.99,131.35,38283.22
2017-07-17,154.61,149.99,32977.66
2017-07-18,153.52,154.61,23485.65
2017-07-19,182.7,153.52,69795.3
2017-07-20,182.04,182.7,24589.15
2017-07-21,190.17,182.04,22214.61
2017-07-22,188.71,190.17,20146.75
2017-07-23,201.48,188.71,61664.35
2017-07-24,193.45,201.48,51498.12
2017-07-25,192.22,193.45,28430.1
2017-07-26,193.71,192.22,20911.96
