timeDate,close,open,volumefrom
2017-12-01,764.95,781.67,32028.67
2017-12-02,759.93,764.97,46373.48
2017-12-03,764.64,759.87,25869.36
2017-12-04,731.29,764.45,30055.18
2017-12-05,667.35,731.41,56253.41
2017-12-06,660.26,667.35,53823.6
2017-12-07,700.25,660.2,65403.64
2017-12-08,707.95,700.19,47811.19
2017-12-09,669.63,707.95,47191.62
2017-12-10,755.55,669.82,33396.54
2017-12-11,881.35,755.7,65276.69
2017-12-12,871.76,881.32,56381.98
2017-12-13,927.76,872.67,43067.9
2017-12-14,891.11,926.76,35074.8
2017-12-15,987.53,891.11,28743.63
2017-12-16,1084.54,987.56,70056.76
2017-12-17,1142.44,1084.59,40120.77
2017-12-18,1136.12,1142.41,47301.94
2017-12-19,1433.41,1136.12,92309.98
2017-12-20,1339.73,1433.41,55579.25
2017-12-21,1099.65,1339.73,104212.55
2017-12-22,1160.85,1099.65,43864.36
2017-12-23,1096.43,1160.85,30856.34
2017-12-24,1109.1,1096.43,17775.66
2017-12-25,1180.57,1109.1,19330.15
2017-12-26,1133.36,1181.28,23144.48
2017-12-27,1103.06,1133.5,24238.95
2017-12-28,1089.31,1103.06,23556.71
2017-12-29,943.14,1089.16,32783.59
2017-12-30,1013.89,943.1,19125.73
2017-12-31,1019.42,1013.89,14616.75
