timeDate,close,open,volumefrom
2014-02-07,0.07,0.05,427.45
2014-02-08,0.1,0.07,9.1
2014-02-09,0.1,0.1,0.0
2014-02-10,0.1,0.1,0.0
2014-02-11,0.1,0.1,0.0
2014-02-12,0.25,0.1,200.0
2014-02-13,0.25,0.25,0.0
2014-02-14,0.25,0.25,0.0
2014-02-15,0.32,0.25,7.1
2014-02-16,100.0,0.32,5.14
2014-02-17,100.0,100.0,0.0
2014-02-18,0.9,100.0,0.76
2014-02-19,1.2,0.9,23.25
2014-02-20,1.25,1.2,12.45
2014-02-21,0.103,1.25,43.45
2014-02-22,1.0,0.103,32.21
2014-02-23,1.3,1.0,2.34
2014-02-24,0.8,1.3,63.21
2014-02-25,1.5,0.8,1.4
2014-02-26,1.5,1.5,0.0
2014-02-27,1.5,1.5,0.0
2014-02-28,1.5,1.5,0.0
2014-03-01,0.9,1.5,21.49
2014-03-02,0.9,0.9,8.93
2014-03-03,0.8,0.9,6.2
2014-03-04,0.8,0.8,0.0
2014-03-05,0.8,0.8,0.0
2014-03-06,0.8,0.8,0.0
2014-03-07,0.8,0.8,0.0
2014-03-08,0.8,0.8,0.0
2014-03-09,0.8,0.8,0.0
2014-03-10,0.8,0.8,0.0
2014-03-11,0.8,0.8,0.0
2014-03-12,0.79,0.8,10.59
2014-03-13,0.79,0.79,0.0
2014-03-14,0.79,0.79,0.0
2014-03-15,0.79,0.79,0.5053
2014-03-16,0.79,0.79,0.001
2014-03-17,0.79,0.79,0.0
2014-03-18,0.79,0.79,0.0
2014-03-19,0.79,0.79,0.0
2014-03-20,0.79,0.79,0.0
2014-03-21,0.79,0.79,0.0
2014-03-22,0.7,0.79,1.91
2014-03-23,0.78,0.7,5.78
2014-03-24,0.78,0.78,2.22
2014-03-25,0.78,0.78,0.0
2014-03-26,0.78,0.78,0.0
2014-03-27,0.78,0.78,0.0
2014-03-28,0.7,0.78,0.0114
2014-03-29,0.7,0.7,0.0
2014-03-30,0.7,0.7,0.0
2014-03-31,0.7,0.7,0.0
2014-04-01,0.7,0.7,0.0
2014-04-02,0.7,0.7,0.0
2014-04-03,0.7,0.7,0.0
2014-04-04,0.7,0.7,0.0
2014-04-05,0.7,0.7,0.0
2014-04-06,0.7,0.7,0.0
2014-04-07,0.7,0.7,0.0
2014-04-08,0.7,0.7,0.0
2014-04-09,0.7,0.7,0.0
2014-04-10,0.56,0.7,4.0
2014-04-11,0.56,0.56,0.0
2014-04-12,0.56,0.56,0.0
2014-04-13,0.58,0.56,0.000998
2014-04-14,0.011,0.58,15.48
2014-04-15,0.011,0.011,0.0
2014-04-16,0.65,0.011,1.0
2014-04-17,0.65,0.65,0.0
2014-04-18,0.7,0.65,1.09
2014-04-19,0.7,0.7,0.0
2014-04-20,0.7,0.7,0.0
2014-04-21,0.7,0.7,0.0
2014-04-22,0.8,0.7,481.06
2014-04-23,0.9,0.8,26.87
2014-04-24,1.2,0.9,44.12
2014-04-25,2.0,1.2,65.85
2014-04-26,2.0,2.0,25.11
2014-04-27,2.0,2.0,0.0
2014-04-28,1.45,2.0,25.5
2014-04-29,1.5,1.45,0.5207
2014-04-30,1.5,1.5,0.0
2014-05-01,1.4,1.5,1.13
2014-05-02,1.4,1.4,0.0
2014-05-03,1.52,1.4,6.5
2014-05-04,1.6,1.52,4.57
2014-05-05,1.6,1.6,4.5
2014-05-06,1.64,1.6,4.84
2014-05-07,1.64,1.64,0.0
2014-05-08,2.25,1.64,13.06
2014-05-09,2.25,2.25,0.8906
2014-05-10,2.35,2.25,0.165
2014-05-11,2.35,2.35,0.00309
2014-05-12,2.35,2.35,432.01
2014-05-13,3.1,2.35,320.38
2014-05-14,6.0,3.1,255.8
2014-05-15,6.0,6.0,0.000313
2014-05-16,5.0,6.0,3.0
2014-05-17,6.0,5.0,40.0
2014-05-18,6.0,6.0,61.1
2014-05-19,7.0,6.0,4.69
2014-05-20,7.5,7.0,5.77
2014-05-21,18.0,7.5,0.002658
2014-05-22,18.0,18.0,0.04196
2014-05-23,18.0,18.0,0.8247
2014-05-24,16.0,18.0,0.0002818
2014-05-25,16.0,16.0,357.62
2014-05-26,15.99,16.0,4.35
2014-05-27,8.1,15.99,3.02
2014-05-28,8.1,8.1,27.27
2014-05-29,13.0,8.1,0.6061
2014-05-30,13.0,13.0,25.77
2014-05-31,11.0,13.0,12.41
2014-06-01,15.5,11.0,0.3466
2014-06-02,15.49,15.5,1.05
2014-06-03,15.49,15.49,2.15
2014-06-04,12.0,15.49,2.19
2014-06-05,12.0,12.0,19.22
2014-06-06,12.0,12.0,17.7
2014-06-07,5.0,12.0,2.46
2014-06-08,5.0,5.0,0.0
2014-06-09,5.0,5.0,0.0
2014-06-10,5.0,5.0,0.0
2014-06-11,15.0,5.0,2.09
2014-06-12,15.0,15.0,0.0
2014-06-13,15.0,15.0,0.0
2014-06-14,12.0,15.0,0.07773
2014-06-15,9.1,12.0,1.0
2014-06-16,9.1,9.1,0.0
2014-06-17,9.1,9.1,0.0
2014-06-18,9.1,9.1,0.0
