timeDate,close,open,volumefrom
2017-06-01,222.04,220.7,407207.46
2017-06-02,224.3,222.04,253020.73
2017-06-03,244.96,224.3,519826.47
2017-06-04,247.75,244.96,339404.76
2017-06-05,264.26,247.75,738103.3
2017-06-06,255.77,264.26,449467.44
2017-06-07,259.41,255.77,354113.99
2017-06-08,279.11,259.41,451368.51
2017-06-09,335.95,279.11,931148.98
2017-06-10,339.68,335.95,639586.84
2017-06-11,394.66,339.68,1509276.84
2017-06-12,388.09,394.66,681665.87
2017-06-13,343.84,388.09,973146.95
2017-06-14,344.68,343.84,1945808.2
2017-06-15,353.61,344.68,652504.83
2017-06-16,368.1,353.61,378375.61
2017-06-17,351.53,368.1,453364.71
2017-06-18,358.2,351.53,298728.2
2017-06-19,350.53,358.2,571693.85
2017-06-20,325.3,350.53,978394.73
2017-06-21,320.97,325.3,486700.58
2017-06-22,326.85,320.97,241098.57
2017-06-23,304.54,326.85,366236.34
2017-06-24,279.36,304.54,794762.46
2017-06-25,253.68,279.36,1818268.14
2017-06-26,286.14,253.68,1425022.43
2017-06-27,315.86,286.14,1257687.23
2017-06-28,292.9,315.86,829138.34
2017-06-29,280.68,292.9,715498.52
2017-06-30,261.0,280.68,812033.74
2017-07-01,283.99,261.0,705029.58
2017-07-02,276.41,283.99,503723.77
2017-07-03,269.05,276.41,515842.63
2017-07-04,266.0,269.05,620794.42
2017-07-05,265.88,266.0,400246.51
2017-07-06,240.94,265.88,689172.67
2017-07-07,245.67,240.94,583786.44
2017-07-08,237.72,245.67,313936.23
2017-07-09,205.76,237.72,1279710.77
2017-07-10,190.55,205.76,1904168.17
2017-07-11,224.15,190.55,1403985.29
2017-07-12,205.41,224.15,949977.28
2017-07-13,197.14,205.41,939689.54
2017-07-14,169.1,197.14,970745.65
2017-07-15,155.42,169.1,2453216.73
2017-07-16,189.97,155.42,2036812.69
2017-07-17,227.09,189.97,3019202.94
2017-07-18,194.41,227.09,2682837.95
2017-07-19,226.33,194.41,2295299.03
2017-07-20,216.33,226.33,1045580.12
2017-07-21,230.47,216.33,667429.85
2017-07-22,228.32,230.47,563141.15
2017-07-23,225.48,228.32,397799.34
2017-07-24,203.59,225.48,1382784.11
2017-07-25,202.88,203.59,809346.64
2017-07-26,202.93,202.88,504777.47
2017-07-27,191.21,202.93,631780.7
2017-07-28,206.14,191.21,1010020.82
2017-07-29,196.78,206.14,553749.07
2017-07-30,201.33,196.78,528822.67
2017-07-31,225.9,201.33,1444224.2
2017-08-01,218.12,225.9,557162.98
2017-08-02,224.39,218.12,417327.69
2017-08-03,220.6,224.39,393605.18
2017-08-04,253.09,220.6,1049623.56
2017-08-05,264.56,253.09,839224.25
2017-08-06,269.94,264.56,594385.57
2017-08-07,296.51,269.94,804213.25
2017-08-08,295.28,296.51,1476327.93
2017-08-09,298.28,295.24,576082.58
2017-08-10,309.32,298.28,486177.48
2017-08-11,308.02,309.32,634507.5
2017-08-12,296.62,308.02,709286.89
2017-08-13,299.16,296.62,461968.26
2017-08-14,286.52,299.16,735205.53
2017-08-15,301.38,286.52,487956.1
2017-08-16,300.3,301.38,466305.76
2017-08-17,292.62,300.3,523133.9
2017-08-18,293.02,292.62,458296.55
2017-08-19,298.2,293.02,293661.68
2017-08-20,321.85,298.2,1147950.71
2017-08-21,313.37,321.85,823697.62
2017-08-22,317.4,313.37,428625.31
2017-08-23,325.28,317.4,352256.9
2017-08-24,330.06,325.28,428182.32
2017-08-25,332.86,330.06,214806.33
2017-08-26,347.88,332.86,336374.92
2017-08-27,347.66,347.88,452449.22
2017-08-28,372.35,347.66,674865.15
2017-08-29,383.86,372.35,651250.58
2017-08-30,388.33,383.86,335126.62
2017-08-31,391.42,388.33,491601.26
2017-09-01,351.03,391.42,1101764.65
2017-09-02,352.45,351.03,627030.97
