timeDate,close,open,volumefrom
2017-12-01,457.96,461.58,464500.81
2017-12-02,462.81,457.96,509415.89
2017-12-03,466.93,462.92,411969.17
2017-12-04,453.96,466.93,494270.35
2017-12-05,422.48,453.96,1074639.32
2017-12-06,421.15,422.39,992479.84
2017-12-07,451.74,420.76,1095872.72
2017-12-08,472.86,451.78,1093313.72
2017-12-09,436.49,472.31,694853.93
2017-12-10,513.29,436.54,758921.64
2017-12-11,656.52,513.36,1760917.56
2017-12-12,699.09,656.52,1964686.27
2017-12-13,693.58,699.09,1133303.76
2017-12-14,684.27,693.58,954510.93
2017-12-15,692.83,684.09,545836.8
2017-12-16,717.71,692.32,532050.55
2017-12-17,785.99,717.73,1016881.96
2017-12-18,812.5,786.17,1339007.15
2017-12-19,799.17,812.5,1135826.7
2017-12-20,789.39,799.17,906371.43
2017-12-21,657.83,789.39,2384161.57
2017-12-22,700.44,657.81,663566.52
2017-12-23,675.91,700.44,742417.69
2017-12-24,723.14,676.08,536600.51
2017-12-25,753.4,723.14,394588.38
2017-12-26,739.94,753.44,474557.77
2017-12-27,716.69,739.93,624468.48
2017-12-28,739.6,716.69,533531.26
2017-12-29,692.99,739.6,654093.06
2017-12-30,741.13,692.99,361409.91
2017-12-31,756.2,741.09,342878.12
