timeDate,close,open,volumefrom
2017-09-01,351.03,391.42,1101764.65
2017-09-02,352.45,351.03,627030.97
2017-09-03,303.7,352.45,1691892.31
2017-09-04,317.94,303.7,947781.26
2017-09-05,338.92,317.94,624432.7
2017-09-06,335.37,338.92,439263.99
2017-09-07,306.72,335.37,997877.33
2017-09-08,303.79,306.72,423738.08
2017-09-09,299.21,303.79,612531.96
2017-09-10,297.95,299.21,502277.48
2017-09-11,294.1,297.95,706469.01
2017-09-12,275.84,294.1,1204287.66
2017-09-13,223.14,275.84,1840149.11
2017-09-14,259.57,223.14,2545560.43
2017-09-15,254.49,259.57,829893.83
2017-09-16,258.4,254.49,509132.86
2017-09-17,297.53,258.4,1101869.95
2017-09-18,283.0,297.53,736458.34
2017-09-19,283.56,283.0,416768.41
2017-09-20,257.77,283.56,794785.87
2017-09-21,262.94,257.77,491176.93
2017-09-22,286.14,262.94,403931.95
2017-09-23,282.6,286.14,455005.16
2017-09-24,294.89,282.6,431148.81
2017-09-25,288.64,294.89,266603.9
2017-09-26,309.97,288.64,519371.43
2017-09-27,302.77,309.97,381991.35
2017-09-28,292.58,302.77,651910.85
2017-09-29,302.77,292.58,274718.7
2017-09-30,303.95,302.77,220320.92
2017-10-01,296.81,303.95,291646.77
2017-10-02,291.81,296.81,302101.3
2017-10-03,291.68,291.81,231043.01
2017-10-04,294.99,291.68,202892.42
2017-10-05,308.33,294.99,265830.27
2017-10-06,311.26,308.33,269276.51
2017-10-07,309.49,311.26,217688.05
2017-10-08,296.95,309.49,471243.74
2017-10-09,298.46,296.95,268423.2
2017-10-10,302.86,298.46,223439.16
2017-10-11,302.89,302.86,426811.81
2017-10-12,336.83,302.89,994746.99
2017-10-13,338.81,336.83,345894.16
2017-10-14,336.58,338.81,465975.53
2017-10-15,334.23,336.58,498450.89
2017-10-16,316.14,334.23,415234.07
2017-10-17,313.54,316.14,543742.61
2017-10-18,307.41,313.54,297975.44
2017-10-19,303.08,307.41,297745.84
2017-10-20,299.55,303.08,307450.01
2017-10-21,294.03,299.55,229706.09
2017-10-22,285.27,294.03,430501.72
2017-10-23,296.5,285.27,545459.65
2017-10-24,296.35,296.5,245972.24
2017-10-25,295.54,296.35,160687.3
2017-10-26,296.36,295.54,152637.47
2017-10-27,293.35,296.37,142578.77
2017-10-28,304.04,293.33,353324.1
2017-10-29,306.8,304.04,186091.57
2017-10-30,303.64,306.8,214194.38
2017-10-31,289.42,303.63,406127.88
2017-11-01,284.92,289.42,702319.19
2017-11-02,304.51,284.92,487772.27
2017-11-03,300.04,304.51,277052.73
2017-11-04,296.23,300.0,214091.55
2017-11-05,296.82,296.22,376470.44
2017-11-06,291.84,296.82,530096.77
2017-11-07,307.35,291.84,800725.7
2017-11-08,319.66,307.35,650266.17
2017-11-09,296.86,319.67,793302.54
2017-11-10,314.23,296.86,531431.95
2017-11-11,306.02,314.23,877312.34
2017-11-12,314.6,306.02,558443.0
2017-11-13,334.72,314.6,785305.62
2017-11-14,331.2,334.72,514478.63
2017-11-15,330.32,331.2,479983.53
2017-11-16,331.72,330.32,378014.46
2017-11-17,346.65,331.72,421354.76
2017-11-18,354.6,346.65,633880.58
2017-11-19,367.71,354.67,461611.79
2017-11-20,360.52,367.71,693590.17
2017-11-21,380.84,360.52,445622.07
2017-11-22,406.57,380.83,1028925.9
2017-11-23,470.43,406.51,908488.94
2017-11-24,464.61,470.4,642619.77
2017-11-25,470.54,464.55,376521.85
2017-11-26,475.24,470.45,672619.99
2017-11-27,466.27,475.2,549199.04
2017-11-28,427.42,466.24,1321734.67
2017-11-29,434.85,427.3,1023187.3
2017-11-30,461.58,435.31,583678.92
2017-12-01,457.96,461.58,464500.81
2017-12-02,462.81,457.96,509415.89
2017-12-03,466.93,462.92,411969.17
2017-12-04,453.96,466.93,494270.35
2017-12-05,422.48,453.96,1074639.32
2017-12-06,421.15,422.39,992479.84
2017-12-07,451.74,420.76,1095872.72
2017-12-08,472.86,451.78,1093313.72
2017-12-09,436.49,472.31,694853.93
2017-12-10,513.29,436.54,758921.64
2017-12-11,656.52,513.36,1760917.56
2017-12-12,699.09,656.52,1964686.27
2017-12-13,693.58,699.09,1133303.76
2017-12-14,684.27,693.58,954510.93
2017-12-15,692.83,684.09,545836.8
2017-12-16,717.71,692.32,532050.55
2017-12-17,785.99,717.73,1016881.96
2017-12-18,812.5,786.17,1339007.15
2017-12-19,799.17,812.5,1135826.7
2017-12-20,789.39,799.17,906371.43
2017-12-21,657.83,789.39,2384161.57
2017-12-22,700.44,657.81,663566.52
2017-12-23,675.91,700.44,742417.69
2017-12-24,723.14,676.08,536600.51
2017-12-25,753.4,723.14,394588.38
2017-12-26,739.94,753.44,474557.77
2017-12-27,716.69,739.93,624468.48
2017-12-28,739.6,716.69,533531.26
2017-12-29,692.99,739.6,654093.06
2017-12-30,741.13,692.99,361409.91
2017-12-31,756.2,741.09,342878.12
