timeDate,close,open,volumefrom
2017-12-01,99.32,99.15,1419498.63
2017-12-02,100.7,99.32,1362821.76
2017-12-03,103.87,100.71,1070029.64
2017-12-04,100.49,103.86,910964.87
2017-12-05,98.97,100.49,1462459.21
2017-12-06,96.0,98.94,1731647.86
2017-12-07,125.24,95.99,4076572.6
2017-12-08,155.98,125.34,5632742.17
2017-12-09,147.84,155.98,2513708.41
2017-12-10,214.54,147.46,4325680.61
2017-12-11,328.52,214.53,5958977.43
2017-12-12,305.27,327.96,3799072.43
2017-12-13,279.81,305.03,2000999.92
2017-12-14,300.27,280.02,2872380.22
2017-12-15,302.04,299.98,1299384.74
2017-12-16,319.57,302.04,1599061.91
2017-12-17,357.51,319.57,1900832.44
2017-12-18,346.87,357.51,2310681.43
2017-12-19,304.81,346.73,2365656.66
2017-12-20,307.69,304.77,1381946.46
2017-12-21,262.09,307.69,4775833.04
2017-12-22,284.11,262.15,1519044.69
2017-12-23,272.24,283.69,1190611.75
2017-12-24,268.21,272.24,569060.0
2017-12-25,279.49,268.03,687239.9
2017-12-26,264.07,279.47,812937.24
2017-12-27,249.86,264.07,1155310.98
2017-12-28,243.13,249.84,836578.77
2017-12-29,212.07,243.13,1218741.31
2017-12-30,226.52,212.07,841309.91
2017-12-31,224.34,226.52,516920.48
