timeDate,close,open,volumefrom
2017-09-01,79.18,87.88,3196898.62
2017-09-02,79.04,79.18,1569976.63
2017-09-03,68.89,79.04,2825457.07
2017-09-04,73.73,68.89,1992004.89
2017-09-05,81.44,73.73,1886517.57
2017-09-06,80.25,81.44,1211324.83
2017-09-07,73.19,80.25,2538937.55
2017-09-08,71.09,73.19,1077310.24
2017-09-09,67.08,71.09,1583298.28
2017-09-10,68.13,67.08,1079756.1
2017-09-11,65.89,68.13,1421854.09
2017-09-12,61.78,65.89,2300788.17
2017-09-13,45.2,61.78,3985897.67
2017-09-14,52.0,45.2,7263563.12
2017-09-15,52.1,52.0,2259867.99
2017-09-16,51.0,52.1,1436990.91
2017-09-17,56.16,51.0,2025289.72
2017-09-18,52.8,56.16,1657588.51
2017-09-19,51.56,52.8,879633.65
2017-09-20,46.46,51.56,2062267.22
2017-09-21,47.67,46.46,1642332.89
2017-09-22,49.29,47.67,924125.98
2017-09-23,47.5,49.29,616636.42
2017-09-24,52.27,47.5,1296904.9
2017-09-25,52.27,52.27,917656.12
2017-09-26,56.9,52.27,1367042.73
2017-09-27,54.91,56.9,1162968.87
2017-09-28,52.8,54.91,1219765.7
2017-09-29,55.41,52.8,670838.08
2017-09-30,54.8,55.41,558315.88
2017-10-01,53.29,54.8,567239.29
2017-10-02,52.15,53.29,589394.71
2017-10-03,51.22,52.15,600284.58
2017-10-04,51.64,51.22,520188.77
2017-10-05,52.08,51.64,415386.22
2017-10-06,52.57,52.08,365539.08
2017-10-07,53.3,52.57,678233.14
2017-10-08,50.08,53.3,1081756.15
2017-10-09,50.58,50.08,627881.58
2017-10-10,50.79,50.58,394320.41
2017-10-11,59.72,50.79,2193019.01
2017-10-12,59.05,59.72,2096690.25
2017-10-13,63.94,59.05,1773158.56
2017-10-14,65.57,63.94,2079801.1
2017-10-15,64.76,65.58,898220.74
2017-10-16,59.19,64.76,1016881.05
2017-10-17,60.55,59.19,1709310.65
2017-10-18,59.68,60.55,986953.9
2017-10-19,60.09,59.68,921517.73
2017-10-20,58.09,60.08,820490.72
2017-10-21,56.51,58.09,538797.55
2017-10-22,54.63,56.52,1171396.45
2017-10-23,55.56,54.63,1227190.77
2017-10-24,56.19,55.56,666770.87
2017-10-25,55.55,56.19,448359.29
2017-10-26,55.02,55.55,353161.94
2017-10-27,54.22,55.02,308611.81
2017-10-28,56.75,54.22,745887.06
2017-10-29,56.22,56.75,575177.06
2017-10-30,55.5,56.22,429393.98
2017-10-31,52.83,55.5,633540.44
2017-11-01,54.19,52.82,1316174.14
2017-11-02,55.98,54.19,808480.75
2017-11-03,54.83,55.98,431022.66
2017-11-04,54.6,54.84,415689.5
2017-11-05,54.5,54.6,655602.25
2017-11-06,60.52,54.5,1990453.25
2017-11-07,62.38,60.52,1929054.85
2017-11-08,64.15,62.38,1507681.54
2017-11-09,58.99,64.15,1845061.12
2017-11-10,62.14,59.07,1169795.97
2017-11-11,58.54,62.14,1527653.8
2017-11-12,61.0,58.53,1058638.68
2017-11-13,62.13,61.0,936563.06
2017-11-14,63.16,62.13,934924.43
2017-11-15,70.7,63.15,1640431.26
2017-11-16,67.36,70.7,1728098.47
2017-11-17,69.42,67.36,811385.44
2017-11-18,71.76,69.42,1103659.82
2017-11-19,72.38,71.76,979972.34
2017-11-20,69.91,72.38,1283528.9
2017-11-21,72.03,69.91,675949.97
2017-11-22,72.94,72.03,1452417.2
2017-11-23,77.54,72.97,1103526.27
2017-11-24,88.79,77.53,1908366.6
2017-11-25,86.24,88.77,927136.62
2017-11-26,90.99,86.2,1588524.41
2017-11-27,94.22,90.99,1209822.51
2017-11-28,85.41,94.22,2993509.96
2017-11-29,85.94,85.4,1893458.34
2017-11-30,99.15,85.94,2191137.08
2017-12-01,99.32,99.15,1419498.63
2017-12-02,100.7,99.32,1362821.76
2017-12-03,103.87,100.71,1070029.64
2017-12-04,100.49,103.86,910964.87
2017-12-05,98.97,100.49,1462459.21
2017-12-06,96.0,98.94,1731647.86
2017-12-07,125.24,95.99,4076572.6
2017-12-08,155.98,125.34,5632742.17
2017-12-09,147.84,155.98,2513708.41
2017-12-10,214.54,147.46,4325680.61
2017-12-11,328.52,214.53,5958977.43
2017-12-12,305.27,327.96,3799072.43
2017-12-13,279.81,305.03,2000999.92
2017-12-14,300.27,280.02,2872380.22
2017-12-15,302.04,299.98,1299384.74
2017-12-16,319.57,302.04,1599061.91
2017-12-17,357.51,319.57,1900832.44
2017-12-18,346.87,357.51,2310681.43
2017-12-19,304.81,346.73,2365656.66
2017-12-20,307.69,304.77,1381946.46
2017-12-21,262.09,307.69,4775833.04
2017-12-22,284.11,262.15,1519044.69
2017-12-23,272.24,283.69,1190611.75
2017-12-24,268.21,272.24,569060.0
2017-12-25,279.49,268.03,687239.9
2017-12-26,264.07,279.47,812937.24
2017-12-27,249.86,264.07,1155310.98
2017-12-28,243.13,249.84,836578.77
2017-12-29,212.07,243.13,1218741.31
2017-12-30,226.52,212.07,841309.91
2017-12-31,224.34,226.52,516920.48
