date, value
2017-06-01,6246.83
2017-06-02,6305.796
2017-06-05,6295.684
2017-06-06,6275.058
2017-06-07,6297.38
2017-06-08,6321.764
2017-06-09,6207.918
2017-06-12,6175.465
2017-06-13,6220.369
2017-06-14,6194.892
2017-06-15,6165.501
2017-06-16,6151.758
2017-06-19,6239.013
2017-06-20,6188.031
2017-06-21,6233.953
2017-06-22,6236.685
2017-06-23,6265.25
2017-06-26,6247.149
2017-06-27,6146.623
2017-06-28,6234.415
2017-06-29,6144.351
2017-06-30,6140.42
2017-07-03,6110.06
2017-07-05,6150.855
2017-07-06,6089.464
2017-07-07,6153.079
2017-07-10,6176.393
2017-07-11,6193.305
2017-07-12,6261.171
2017-07-13,6274.437
2017-07-14,6312.465
2017-07-17,6314.431
2017-07-18,6344.305
2017-07-19,6385.042
2017-07-20,6390.002
2017-07-21,6387.754
2017-07-24,6410.808
2017-07-25,6412.173
2017-07-26,6422.747
2017-07-27,6382.186
2017-07-28,6374.677
2017-07-31,6348.123
2017-08-01,6362.938
2017-08-02,6362.645
2017-08-03,6340.341
2017-08-04,6351.564
2017-08-07,6383.772
2017-08-08,6370.46
2017-08-09,6352.332
2017-08-10,6216.872
2017-08-11,6256.556
2017-08-14,6340.232
2017-08-15,6333.013
2017-08-16,6345.109
2017-08-17,6221.915
2017-08-18,6216.527
2017-08-21,6213.127
2017-08-22,6297.478
2017-08-23,6278.406
2017-08-24,6271.326
2017-08-25,6265.644
2017-08-28,6283.015
2017-08-29,6301.886
2017-08-30,6368.309
2017-08-31,6428.662
2017-09-01,6435.331
2017-09-05,6375.574
2017-09-06,6393.314
2017-09-07,6397.869
2017-09-08,6360.191
2017-09-11,6432.264
2017-09-12,6454.282
2017-09-13,6460.188
2017-09-14,6429.084
2017-09-15,6448.467
2017-09-18,6454.639
2017-09-19,6461.323
2017-09-20,6456.044
2017-09-21,6422.693
2017-09-22,6426.922
2017-09-25,6370.593
2017-09-26,6380.164
2017-09-27,6453.263
2017-09-28,6453.451
2017-09-29,6495.959
2017-10-02,6516.718
2017-10-03,6531.714
2017-10-04,6534.627
2017-10-05,6585.356
2017-10-06,6590.18
2017-10-09,6579.731
2017-10-10,6587.251
2017-10-11,6603.548
2017-10-12,6591.51
2017-10-13,6605.801
2017-10-16,6624.005
2017-10-17,6623.657
2017-10-18,6624.22
2017-10-19,6605.067
2017-10-20,6629.053
2017-10-23,6586.826
2017-10-24,6598.43
2017-10-25,6563.891
2017-10-26,6556.774
2017-10-27,6701.263
2017-10-30,6698.963
2017-10-31,6727.669
2017-11-01,6716.533
2017-11-02,6714.943
2017-11-03,6764.435
2017-11-06,6786.436
2017-11-07,6767.783
2017-11-08,6789.118
2017-11-09,6750.053
2017-11-10,6750.939
2017-11-13,6757.595
2017-11-14,6737.872
2017-11-15,6706.208
2017-11-16,6793.291
2017-11-17,6782.791
2017-11-20,6790.714
2017-11-21,6862.477
2017-11-22,6867.361
2017-11-24,6889.16
2017-11-27,6878.521
2017-11-28,6912.358
2017-11-29,6824.34
2017-11-30,6873.973
2017-12-01,6847.586
2017-12-04,6775.366
2017-12-05,6762.213
2017-12-06,6776.375
2017-12-07,6812.841
2017-12-08,6840.081
2017-12-11,6875.078
2017-12-12,6862.317
2017-12-13,6875.799
2017-12-14,6856.525
2017-12-15,6936.583
2017-12-18,6994.759
2017-12-19,6963.851
2017-12-20,6960.959
2017-12-21,6965.361
2017-12-22,6959.96
2017-12-26,6936.25
2017-12-27,6939.336
2017-12-28,6950.161
2017-12-29,6903.389
