Macrotrends Data Download



Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2008-03-07,2212.4900
2008-03-10,2169.3400
2008-03-11,2255.7600
2008-03-12,2243.8700
2008-03-13,2263.6100
2008-03-14,2212.4900
2008-03-17,2177.0100
2008-03-18,2268.2600
2008-03-19,2209.9600
2008-03-20,2258.1100
2008-03-24,2326.7500
2008-03-25,2341.0500
2008-03-26,2324.3600
2008-03-27,2280.8300
2008-03-28,2261.1800
2008-03-31,2279.1000
2008-04-01,2362.7500
2008-04-02,2361.4000
2008-04-03,2363.3000
2008-04-04,2370.9800
2008-04-07,2364.8300
2008-04-08,2348.7600
2008-04-09,2322.1200
2008-04-10,2351.7000
2008-04-11,2290.2400
2008-04-14,2275.8200
2008-04-15,2286.0400
2008-04-16,2350.1100
2008-04-17,2341.8300
2008-04-18,2402.9700
2008-04-21,2408.0400
2008-04-22,2376.9400
2008-04-23,2405.2100
2008-04-24,2428.9200
2008-04-25,2422.9300
2008-04-28,2424.4000
2008-04-29,2426.1000
2008-04-30,2412.8000
2008-05-01,2480.7100
2008-05-02,2476.9900
2008-05-05,2464.1200
2008-05-06,2483.3100
2008-05-07,2438.4900
2008-05-08,2451.2400
2008-05-09,2445.5200
2008-05-12,2488.4900
2008-05-13,2495.1200
2008-05-14,2496.7000
2008-05-15,2533.7300
2008-05-16,2528.8500
2008-05-19,2516.0900
2008-05-20,2492.2600
2008-05-21,2448.2700
2008-05-22,2464.5800
2008-05-23,2444.6700
2008-05-27,2481.2400
2008-05-28,2486.7000
2008-05-29,2508.3200
2008-05-30,2522.6600
2008-06-02,2491.5300
2008-06-03,2480.4800
2008-06-04,2503.1400
2008-06-05,2549.9400
2008-06-06,2474.5600
2008-06-09,2459.4600
2008-06-10,2448.9400
2008-06-11,2394.0100
2008-06-12,2404.3500
2008-06-13,2454.5000
2008-06-16,2474.7800
2008-06-17,2457.7300
2008-06-18,2429.7100
2008-06-19,2462.0600
2008-06-20,2406.0900
2008-06-23,2385.7400
2008-06-24,2368.2800
2008-06-25,2401.2600
2008-06-26,2321.3700
2008-06-27,2315.6300
2008-06-30,2292.9800
2008-07-01,2304.9700
2008-07-02,2251.4600
2008-07-03,2245.3800
2008-07-07,2243.3200
2008-07-08,2294.4400
2008-07-09,2234.8900
2008-07-10,2257.8500
2008-07-11,2239.0800
2008-07-14,2212.8700
2008-07-15,2215.7100
2008-07-16,2284.8500
2008-07-17,2312.3000
2008-07-18,2282.7800
2008-07-21,2279.5300
2008-07-22,2303.9600
2008-07-23,2325.8800
2008-07-24,2280.1100
2008-07-25,2310.5300
2008-07-28,2264.2200
2008-07-29,2319.6200
2008-07-30,2329.7200
2008-07-31,2325.5500
2008-08-01,2310.9600
2008-08-04,2285.5600
2008-08-05,2349.8300
2008-08-06,2378.3700
2008-08-07,2355.7300
2008-08-08,2414.1000
2008-08-11,2439.9500
2008-08-12,2430.6100
2008-08-13,2428.6200
2008-08-14,2453.6700
2008-08-15,2452.5200
2008-08-18,2416.9800
2008-08-19,2384.3600
2008-08-20,2389.0800
2008-08-21,2380.3800
2008-08-22,2414.7100
2008-08-25,2365.5900
2008-08-26,2361.9700
2008-08-27,2382.4600
2008-08-28,2411.6400
2008-08-29,2367.5200
2008-09-02,2349.2400
2008-09-03,2333.7300
2008-09-04,2259.0400
2008-09-05,2255.8800
2008-09-08,2269.7600
2008-09-09,2209.8100
2008-09-10,2228.7000
2008-09-11,2258.2200
2008-09-12,2261.2700
2008-09-15,2179.9100
2008-09-16,2207.9000
2008-09-17,2098.8500
2008-09-18,2199.1000
2008-09-19,2273.9000
2008-09-22,2178.9800
2008-09-23,2153.3300
2008-09-24,2155.6800
2008-09-25,2186.5700
2008-09-26,2183.3400
2008-09-29,1983.7300
2008-09-30,2091.8800
2008-10-01,2069.4000
2008-10-02,1976.7200
2008-10-03,1947.3900
2008-10-06,1862.9600
2008-10-07,1754.8800
2008-10-08,1740.3300
2008-10-09,1645.1200
2008-10-10,1649.5100
2008-10-13,1844.2500
2008-10-14,1779.0100
2008-10-15,1628.3300
2008-10-16,1717.7100
2008-10-17,1711.2900
2008-10-20,1770.0300
2008-10-21,1696.6800
2008-10-22,1615.7500
2008-10-23,1603.9100
2008-10-24,1552.0300
2008-10-27,1505.9000
2008-10-28,1649.4700
2008-10-29,1657.2100
2008-10-30,1698.5200
2008-10-31,1720.9500
2008-11-03,1726.3300
2008-11-04,1780.1200
2008-11-05,1681.6400
2008-11-06,1608.7000
2008-11-07,1647.4000
2008-11-10,1616.7400
2008-11-11,1580.9000
2008-11-12,1499.2100
2008-11-13,1596.7000
2008-11-14,1516.8500
2008-11-17,1482.0500
2008-11-18,1483.2700
2008-11-19,1386.4200
2008-11-20,1316.1200
2008-11-21,1384.3500
2008-11-24,1472.0200
2008-11-25,1464.7300
2008-11-26,1532.1000
2008-11-28,1535.5700
2008-12-01,1398.0700
2008-12-02,1449.8000
2008-12-03,1492.3800
2008-12-04,1445.5600
2008-12-05,1509.3100
2008-12-08,1571.7400
2008-12-09,1547.3400
2008-12-10,1565.4800
2008-12-11,1507.8800
2008-12-12,1540.7200
2008-12-15,1508.3400
2008-12-16,1589.8900
2008-12-17,1579.3100
2008-12-18,1552.3700
2008-12-19,1564.3200
2008-12-22,1532.3500
2008-12-23,1521.5400
2008-12-24,1524.9000
2008-12-26,1530.2400
2008-12-29,1510.3200
2008-12-30,1550.7000
2008-12-31,1577.0300
2009-01-02,1632.2100
2009-01-05,1628.0300
2009-01-06,1652.3800
2009-01-07,1599.0600
2009-01-08,1617.0100
2009-01-09,1571.5900
2009-01-12,1538.7900
2009-01-13,1546.4600
2009-01-14,1489.6400
2009-01-15,1511.8400
2009-01-16,1529.3300
2009-01-20,1440.8600
2009-01-21,1507.0700
2009-01-22,1465.4900
2009-01-23,1477.2900
2009-01-26,1489.4600
2009-01-27,1504.9000
2009-01-28,1558.3400
2009-01-29,1507.8400
2009-01-30,1476.4200
2009-02-02,1494.4300
2009-02-03,1516.3000
2009-02-04,1515.0500
2009-02-05,1546.2400
2009-02-06,1591.7100
2009-02-09,1591.5600
2009-02-10,1524.7300
2009-02-11,1530.5000
2009-02-12,1541.7100
2009-02-13,1534.3600
2009-02-17,1470.6600
2009-02-18,1467.9700
2009-02-19,1442.8200
2009-02-20,1441.2300
2009-02-23,1387.7200
2009-02-24,1441.8300
2009-02-25,1425.4300
2009-02-26,1391.4700
2009-02-27,1377.8400
2009-03-02,1322.8500
2009-03-03,1321.0100
2009-03-04,1353.7400
2009-03-05,1299.5900
2009-03-06,1293.8500
2009-03-09,1268.6400
2009-03-10,1358.2800
2009-03-11,1371.6400
2009-03-12,1426.1000
2009-03-13,1431.5000
2009-03-16,1404.0200
2009-03-17,1462.1100
2009-03-18,1491.2200
2009-03-19,1483.4800
2009-03-20,1457.2700
2009-03-23,1555.7700
2009-03-24,1516.5200
2009-03-25,1528.9500
2009-03-26,1587.0000
2009-03-27,1545.2000
2009-03-30,1501.8000
2009-03-31,1528.5900
2009-04-01,1551.6000
2009-04-02,1602.6300
2009-04-03,1621.8700
2009-04-06,1606.7100
2009-04-07,1561.6100
2009-04-08,1590.6600
2009-04-09,1652.5400
2009-04-13,1653.3100
2009-04-14,1625.7200
2009-04-15,1626.8000
2009-04-16,1670.4400
2009-04-17,1673.0700
2009-04-20,1608.2100
2009-04-21,1643.8500
2009-04-22,1646.1200
2009-04-23,1652.2100
2009-04-24,1694.2900
2009-04-27,1679.4100
2009-04-28,1673.8100
2009-04-29,1711.9400
2009-04-30,1717.3000
2009-05-01,1719.2000
2009-05-04,1763.5600
2009-05-05,1754.1200
2009-05-06,1759.1000
2009-05-07,1716.2400
2009-05-08,1739.0000
2009-05-11,1731.2400
2009-05-12,1715.9200
2009-05-13,1664.1900
2009-05-14,1689.2100
2009-05-15,1680.1400
2009-05-18,1732.3600
2009-05-19,1734.5400
2009-05-20,1727.8400
2009-05-21,1695.2500
2009-05-22,1692.0100
2009-05-26,1750.4300
2009-05-27,1731.0800
2009-05-28,1751.7900
2009-05-29,1774.3300
2009-06-01,1828.6800
2009-06-02,1836.8000
2009-06-03,1825.9200
2009-06-04,1850.0200
2009-06-05,1849.4200
2009-06-08,1842.4000
2009-06-09,1860.1300
2009-06-10,1853.0800
2009-06-11,1862.3700
2009-06-12,1858.8000
2009-06-15,1816.3800
2009-06-16,1796.1800
2009-06-17,1808.0600
2009-06-18,1807.7200
2009-06-19,1827.4700
2009-06-22,1766.1900
2009-06-23,1764.9200
2009-06-24,1792.3400
2009-06-25,1829.5400
2009-06-26,1838.2200
2009-06-29,1844.0600
2009-06-30,1835.0400
2009-07-01,1845.7200
2009-07-02,1796.5200
2009-07-06,1787.4000
2009-07-07,1746.1700
2009-07-08,1747.1700
2009-07-09,1752.5500
2009-07-10,1756.0300
2009-07-13,1793.2100
2009-07-14,1799.7300
2009-07-15,1862.9000
2009-07-16,1885.0300
2009-07-17,1886.6100
2009-07-20,1909.2900
2009-07-21,1916.2000
2009-07-22,1926.3800
2009-07-23,1973.6000
2009-07-24,1965.9600
2009-07-27,1967.8900
2009-07-28,1975.5100
2009-07-29,1967.7600
2009-07-30,1984.3000
2009-07-31,1978.5000
2009-08-03,2008.6100
2009-08-04,2011.3100
2009-08-05,1993.0500
2009-08-06,1973.1600
2009-08-07,2000.2500
2009-08-10,1992.2400
2009-08-11,1969.7300
2009-08-12,1998.7200
2009-08-13,2009.3500
2009-08-14,1985.5200
2009-08-17,1930.8400
2009-08-18,1955.9200
2009-08-19,1969.2400
2009-08-20,1989.2200
2009-08-21,2020.9000
2009-08-24,2017.9800
2009-08-25,2024.2300
2009-08-26,2024.4300
2009-08-27,2027.7300
