Macrotrends Data Download

Dow Jones - 10 Year Daily Chart

Disclaimer and Terms of Use: Historical data is provided "as is" and solely
for informational purposes - not for trading purposes or advice.
Neither MacroTrends LLC nor any of our information providers will be liable
for any damages relating to your use of the data provided.

ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2008-03-07,11893.6900
2008-03-10,11740.1500
2008-03-11,12156.8100
2008-03-12,12110.2400
2008-03-13,12145.7400
2008-03-14,11951.0900
2008-03-17,11972.2500
2008-03-18,12392.6600
2008-03-19,12099.6600
2008-03-20,12361.3200
2008-03-24,12548.6400
2008-03-25,12532.6000
2008-03-26,12422.8600
2008-03-27,12302.4600
2008-03-28,12216.4000
2008-03-31,12262.8900
2008-04-01,12654.3600
2008-04-02,12608.9200
2008-04-03,12626.0300
2008-04-04,12609.4200
2008-04-07,12612.4300
2008-04-08,12576.4400
2008-04-09,12527.2600
2008-04-10,12581.9800
2008-04-11,12325.4200
2008-04-14,12302.0600
2008-04-15,12362.4700
2008-04-16,12619.2700
2008-04-17,12620.4900
2008-04-18,12849.3600
2008-04-21,12825.0200
2008-04-22,12720.2300
2008-04-23,12763.2200
2008-04-24,12848.9500
2008-04-25,12891.8600
2008-04-28,12871.7500
2008-04-29,12831.9400
2008-04-30,12820.1300
2008-05-01,13010.0000
2008-05-02,13058.2000
2008-05-05,12969.5400
2008-05-06,13020.8300
2008-05-07,12814.3500
2008-05-08,12866.7800
2008-05-09,12745.8800
2008-05-12,12876.3100
2008-05-13,12832.1800
2008-05-14,12898.3800
2008-05-15,12992.6600
2008-05-16,12986.8000
2008-05-19,13028.1600
2008-05-20,12828.6800
2008-05-21,12601.1900
2008-05-22,12625.6200
2008-05-23,12479.6300
2008-05-27,12548.3500
2008-05-28,12594.0300
2008-05-29,12646.2200
2008-05-30,12638.3200
2008-06-02,12503.8200
2008-06-03,12402.8500
2008-06-04,12390.4800
2008-06-05,12604.4500
2008-06-06,12209.8100
2008-06-09,12280.3200
2008-06-10,12289.7600
2008-06-11,12083.7700
2008-06-12,12141.5800
2008-06-13,12307.3500
2008-06-16,12269.0800
2008-06-17,12160.3000
2008-06-18,12029.0600
2008-06-19,12063.0900
2008-06-20,11842.6900
2008-06-23,11842.3600
2008-06-24,11807.4300
2008-06-25,11811.8300
2008-06-26,11453.4200
2008-06-27,11346.5100
2008-06-30,11350.0100
2008-07-01,11382.2600
2008-07-02,11215.5100
2008-07-03,11288.5400
2008-07-07,11231.9600
2008-07-08,11384.2100
2008-07-09,11147.4400
2008-07-10,11229.0200
2008-07-11,11100.5400
2008-07-14,11055.1900
2008-07-15,10962.5400
2008-07-16,11239.2800
2008-07-17,11446.6600
2008-07-18,11496.5700
2008-07-21,11467.3400
2008-07-22,11602.5000
2008-07-23,11632.3800
2008-07-24,11349.2800
2008-07-25,11370.6900
2008-07-28,11131.0800
2008-07-29,11397.5600
2008-07-30,11583.6900
2008-07-31,11378.0200
2008-08-01,11326.3200
2008-08-04,11284.1500
2008-08-05,11615.7700
2008-08-06,11656.0700
2008-08-07,11431.4300
2008-08-08,11734.3200
2008-08-11,11782.3500
2008-08-12,11642.4700
2008-08-13,11532.9600
2008-08-14,11615.9300
2008-08-15,11659.9000
2008-08-18,11479.3900
2008-08-19,11348.5500
2008-08-20,11417.4300
2008-08-21,11430.2100
2008-08-22,11628.0600
2008-08-25,11386.2500
2008-08-26,11412.8700
2008-08-27,11502.5100
2008-08-28,11715.1800
2008-08-29,11543.9600
2008-09-02,11516.9200
2008-09-03,11532.8800
2008-09-04,11188.2300
2008-09-05,11220.9600
2008-09-08,11510.7400
2008-09-09,11230.7300
2008-09-10,11268.9200
2008-09-11,11433.7100
2008-09-12,11421.9900
2008-09-15,10917.5100
2008-09-16,11059.0200
2008-09-17,10609.6600
2008-09-18,11019.6900
2008-09-19,11388.4400
2008-09-22,11015.6900
2008-09-23,10854.1700
2008-09-24,10825.1700
2008-09-25,11022.0600
2008-09-26,11143.1300
2008-09-29,10365.4500
2008-09-30,10850.6600
2008-10-01,10831.0700
2008-10-02,10482.8500
2008-10-03,10325.3800
2008-10-06,9955.5000
2008-10-07,9447.1100
2008-10-08,9258.1000
2008-10-09,8579.1900
2008-10-10,8451.1900
2008-10-13,9387.6100
2008-10-14,9310.9900
2008-10-15,8577.9100
2008-10-16,8979.2600
2008-10-17,8852.2200
2008-10-20,9265.4300
2008-10-21,9033.6600
2008-10-22,8519.2100
2008-10-23,8691.2500
2008-10-24,8378.9500
2008-10-27,8175.7700
2008-10-28,9065.1200
2008-10-29,8990.9600
2008-10-30,9180.6900
2008-10-31,9325.0100
2008-11-03,9319.8300
2008-11-04,9625.2800
2008-11-05,9139.2700
2008-11-06,8695.7900
2008-11-07,8943.8100
2008-11-10,8870.5400
2008-11-11,8693.9600
2008-11-12,8282.6600
2008-11-13,8835.2500
2008-11-14,8497.3100
2008-11-17,8273.5800
2008-11-18,8424.7500
2008-11-19,7997.2800
2008-11-20,7552.2900
2008-11-21,8046.4200
2008-11-24,8443.3900
2008-11-25,8479.4700
2008-11-26,8726.6100
2008-11-28,8829.0400
2008-12-01,8149.0900
2008-12-02,8419.0900
2008-12-03,8591.6900
2008-12-04,8376.2400
2008-12-05,8635.4200
2008-12-08,8934.1800
2008-12-09,8691.3300
2008-12-10,8761.4200
2008-12-11,8565.0900
2008-12-12,8629.6800
2008-12-15,8564.5300
2008-12-16,8924.1400
2008-12-17,8824.3400
2008-12-18,8604.9900
2008-12-19,8579.1100
2008-12-22,8519.6900
2008-12-23,8419.4900
2008-12-24,8468.4800
2008-12-26,8515.5500
2008-12-29,8483.9300
2008-12-30,8668.3900
2008-12-31,8776.3900
2009-01-02,9034.6900
2009-01-05,8952.8900
2009-01-06,9015.1000
2009-01-07,8769.7000
2009-01-08,8742.4600
2009-01-09,8599.1800
2009-01-12,8473.9700
2009-01-13,8448.5600
