timeDate,close,open,volumefrom
2017-12-01,325.7,330.71,46689.06
2017-12-02,318.68,325.77,65956.03
2017-12-03,326.92,318.63,42214.13
2017-12-04,320.89,326.92,49227.94
2017-12-05,314.75,320.9,106198.39
2017-12-06,292.29,314.6,61564.34
2017-12-07,319.03,292.21,71759.42
2017-12-08,308.05,318.7,80655.39
2017-12-09,283.89,308.6,83453.85
2017-12-10,316.05,284.14,78739.25
2017-12-11,364.14,316.04,138757.01
2017-12-12,410.78,364.14,197929.74
2017-12-13,504.97,410.78,217606.72
2017-12-14,463.78,504.97,115425.44
2017-12-15,465.07,463.12,55744.68
2017-12-16,527.14,465.06,105706.48
2017-12-17,583.72,527.14,127919.51
2017-12-18,589.89,583.72,116010.86
2017-12-19,666.0,589.88,119749.76
2017-12-20,646.99,666.0,109168.32
2017-12-21,481.99,647.08,188298.72
2017-12-22,522.2,481.99,71585.31
2017-12-23,519.38,522.17,74361.29
2017-12-24,516.98,519.36,43145.78
2017-12-25,546.2,517.02,32201.6
2017-12-26,517.26,546.2,38968.71
2017-12-27,478.64,517.26,36493.86
2017-12-28,519.04,478.64,52148.45
2017-12-29,446.56,519.04,55900.68
2017-12-30,479.29,446.76,23582.2
2017-12-31,518.49,479.55,54826.15
