timeDate,close,open,volumefrom
2017-09-01,251.87,306.36,53558.12
2017-09-02,262.72,251.87,40548.27
2017-09-03,219.9,262.72,55245.5
2017-09-04,229.78,219.9,36953.08
2017-09-05,247.51,229.78,34526.75
2017-09-06,248.11,247.51,38083.38
2017-09-07,220.97,248.11,47004.32
2017-09-08,219.25,220.97,37037.57
2017-09-09,217.27,219.25,49238.88
2017-09-10,213.69,217.27,30280.63
2017-09-11,209.71,213.69,40034.23
2017-09-12,198.93,209.71,61695.51
2017-09-13,161.93,198.93,82248.21
2017-09-14,187.02,161.93,86620.59
2017-09-15,179.36,187.02,29091.65
2017-09-16,177.04,179.36,32331.19
2017-09-17,195.02,177.04,41304.25
2017-09-18,188.5,195.02,34010.74
2017-09-19,188.25,188.5,21447.53
2017-09-20,175.41,188.25,34807.49
2017-09-21,196.12,175.41,78314.38
2017-09-22,204.83,196.12,52457.04
2017-09-23,205.57,204.83,22662.29
2017-09-24,231.3,205.57,61801.44
2017-09-25,232.13,231.3,25692.58
2017-09-26,286.72,232.13,175232.9
2017-09-27,311.19,286.72,384414.2
2017-09-28,289.83,311.19,116876.46
2017-09-29,278.0,289.83,49964.94
2017-09-30,265.54,278.0,30213.84
2017-10-01,257.0,265.54,54599.05
2017-10-02,252.65,257.0,45950.15
2017-10-03,237.31,252.65,27544.89
2017-10-04,256.03,237.31,62794.25
2017-10-05,257.95,256.03,45668.76
2017-10-06,254.0,257.95,29650.57
2017-10-07,242.19,254.0,26857.9
2017-10-08,229.39,242.19,38049.08
2017-10-09,234.53,229.39,31177.47
2017-10-10,236.24,234.53,16906.61
2017-10-11,226.92,236.24,33063.13
2017-10-12,238.93,226.92,64485.21
2017-10-13,239.66,238.93,18762.34
2017-10-14,232.29,239.66,25473.19
2017-10-15,233.25,232.38,19860.65
2017-10-16,229.99,233.25,54285.64
2017-10-17,228.41,229.97,31160.31
2017-10-18,230.08,228.46,29804.04
2017-10-19,221.36,230.1,26394.65
2017-10-20,211.8,221.36,34831.34
2017-10-21,213.08,211.9,23526.96
2017-10-22,204.88,212.96,33987.81
2017-10-23,214.86,204.86,43335.78
2017-10-24,216.3,214.88,42132.87
2017-10-25,233.33,216.27,38133.55
2017-10-26,243.53,233.6,267821.61
2017-10-27,228.86,243.53,36888.49
2017-10-28,233.16,228.79,48643.7
2017-10-29,239.75,233.15,43966.07
2017-10-30,232.12,239.69,28964.0
2017-10-31,221.21,232.44,46657.0
2017-11-01,216.68,221.19,47629.58
2017-11-02,231.16,216.64,59031.82
2017-11-03,229.84,231.05,32272.35
2017-11-04,224.97,229.81,35185.94
2017-11-05,227.2,224.95,45158.23
2017-11-06,238.48,227.29,55102.95
2017-11-07,249.71,238.34,63037.33
2017-11-08,260.77,249.71,99442.74
2017-11-09,235.85,260.78,108427.43
2017-11-10,252.61,235.93,70743.96
2017-11-11,280.93,252.69,113747.32
2017-11-12,263.17,281.2,99867.47
2017-11-13,269.15,263.16,46153.34
2017-11-14,287.59,269.18,75447.04
2017-11-15,295.23,287.53,141197.77
2017-11-16,290.31,295.13,46053.78
2017-11-17,297.24,290.39,49955.98
2017-11-18,299.66,297.27,40532.82
2017-11-19,303.86,299.99,44090.81
2017-11-20,289.52,303.72,73544.87
2017-11-21,318.26,289.56,90569.23
2017-11-22,309.63,318.35,80133.53
2017-11-23,348.83,309.63,101747.21
2017-11-24,343.32,349.12,90616.91
2017-11-25,336.43,343.31,25918.22
2017-11-26,344.77,336.43,71150.12
2017-11-27,361.1,344.77,86460.65
2017-11-28,302.09,361.09,150203.01
2017-11-29,301.87,301.96,90805.18
2017-11-30,330.71,301.87,56281.54
2017-12-01,325.7,330.71,46689.06
2017-12-02,318.68,325.77,65956.03
2017-12-03,326.92,318.63,42214.13
2017-12-04,320.89,326.92,49227.94
2017-12-05,314.75,320.9,106198.39
2017-12-06,292.29,314.6,61564.34
2017-12-07,319.03,292.21,71759.42
2017-12-08,308.05,318.7,80655.39
2017-12-09,283.89,308.6,83453.85
2017-12-10,316.05,284.14,78739.25
2017-12-11,364.14,316.04,138757.01
2017-12-12,410.78,364.14,197929.74
2017-12-13,504.97,410.78,217606.72
2017-12-14,463.78,504.97,115425.44
2017-12-15,465.07,463.12,55744.68
2017-12-16,527.14,465.06,105706.48
2017-12-17,583.72,527.14,127919.51
2017-12-18,589.89,583.72,116010.86
2017-12-19,666.0,589.88,119749.76
2017-12-20,646.99,666.0,109168.32
2017-12-21,481.99,647.08,188298.72
2017-12-22,522.2,481.99,71585.31
2017-12-23,519.38,522.17,74361.29
2017-12-24,516.98,519.36,43145.78
2017-12-25,546.2,517.02,32201.6
2017-12-26,517.26,546.2,38968.71
2017-12-27,478.64,517.26,36493.86
2017-12-28,519.04,478.64,52148.45
2017-12-29,446.56,519.04,55900.68
2017-12-30,479.29,446.76,23582.2
2017-12-31,518.49,479.55,54826.15
