timeDate,close,open,volumefrom
2017-01-01,50.08,49.0,804.82
2017-01-02,50.0,50.08,998.62
2017-01-03,53.14,50.0,1630.9
2017-01-04,49.99,53.14,2553.8
2017-01-05,46.29,49.99,730.24
2017-01-06,46.75,46.29,1023.43
2017-01-07,45.15,46.75,491.55
2017-01-08,45.49,45.15,547.49
2017-01-09,45.3,45.49,456.93
2017-01-10,40.04,45.3,1927.94
2017-01-11,43.0,40.04,1076.23
2017-01-12,43.04,43.0,393.85
2017-01-13,44.98,43.04,536.0
2017-01-14,44.21,44.98,411.12
2017-01-15,43.42,44.21,295.52
2017-01-16,45.01,43.42,822.61
2017-01-17,43.24,45.01,1824.39
2017-01-18,43.99,43.24,708.51
2017-01-19,43.28,43.99,381.3
2017-01-20,43.26,43.28,716.28
2017-01-21,42.9,43.26,1015.21
2017-01-22,42.56,42.9,478.65
2017-01-23,41.05,42.56,619.72
2017-01-24,39.11,41.05,978.79
2017-01-25,37.11,39.11,1241.88
2017-01-26,38.81,37.11,1378.2
2017-01-27,38.0,38.81,277.7
2017-01-28,38.72,38.0,645.74
2017-01-29,40.3,38.72,332.7
2017-01-30,39.72,40.3,1155.03
2017-01-31,39.3,39.72,595.53
2017-02-01,39.78,39.3,562.07
2017-02-02,38.5,39.78,1173.98
2017-02-03,39.0,38.5,571.75
2017-02-04,37.52,39.0,1005.75
2017-02-05,37.1,37.52,940.45
2017-02-06,36.29,37.1,1551.91
2017-02-07,34.56,36.29,2578.82
2017-02-08,32.57,34.56,3756.74
2017-02-09,32.51,32.57,637.71
2017-02-10,32.58,32.51,509.14
2017-02-11,31.04,32.58,1393.53
2017-02-12,30.71,31.04,2328.92
2017-02-13,33.15,30.71,2065.32
2017-02-14,33.67,33.15,1613.67
2017-02-15,33.0,33.67,1420.63
2017-02-16,32.0,33.0,818.32
2017-02-17,30.62,32.0,1352.25
2017-02-18,30.28,30.62,753.76
2017-02-19,31.13,30.28,1217.84
2017-02-20,30.21,31.13,1382.35
2017-02-21,27.0,30.21,2024.43
2017-02-22,30.01,27.0,2832.22
2017-02-23,30.35,30.01,1405.57
2017-02-24,29.02,30.35,947.68
2017-02-25,29.24,29.02,713.26
2017-02-26,36.16,29.24,8409.56
2017-02-27,36.87,36.16,5950.67
2017-02-28,41.65,36.87,4326.38
2017-03-01,39.7,41.65,5270.13
2017-03-02,41.38,39.7,3856.58
2017-03-03,41.5,41.38,2498.54
2017-03-04,39.4,41.5,1227.18
2017-03-05,39.49,39.4,2504.82
2017-03-06,37.83,39.49,1876.57
2017-03-07,36.0,37.83,2038.83
2017-03-08,36.55,36.0,1325.75
2017-03-09,34.4,36.55,7034.11
2017-03-10,38.91,34.4,5310.87
2017-03-11,39.14,38.91,4526.62
2017-03-12,48.0,39.14,13417.93
2017-03-13,44.03,48.0,6167.29
2017-03-14,46.3,44.03,7494.86
2017-03-15,47.85,46.3,10211.28
2017-03-16,45.02,47.85,18125.35
2017-03-17,64.0,45.02,51698.57
2017-03-18,65.01,64.0,23621.43
2017-03-19,71.68,65.01,13032.85
2017-03-20,65.04,71.68,14992.59
2017-03-21,66.42,65.04,7023.8
2017-03-22,65.49,66.42,3511.45
2017-03-23,62.89,65.49,22567.72
2017-03-24,61.94,62.89,8581.81
2017-03-25,58.26,61.94,5466.41
2017-03-26,56.42,58.26,7319.02
2017-03-27,63.11,56.42,24808.73
2017-03-28,62.54,63.11,6795.91
2017-03-29,60.56,62.54,5965.18
2017-03-30,62.22,60.56,6196.49
2017-03-31,61.57,62.22,4623.09
2017-04-01,59.25,61.57,7955.3
2017-04-02,59.26,59.25,6427.11
2017-04-03,59.55,59.26,3864.03
2017-04-04,59.99,59.55,4332.99
2017-04-05,59.31,59.99,7204.06
2017-04-06,60.56,59.31,6584.63
2017-04-07,63.41,60.56,7338.82
2017-04-08,63.48,63.41,25693.52
2017-04-09,64.86,63.48,12157.22
2017-04-10,61.78,64.86,5606.6
2017-04-11,62.32,61.78,7653.66
2017-04-12,64.13,62.32,9099.16
2017-04-13,72.09,64.13,16422.71
2017-04-14,75.24,72.09,16927.21
2017-04-15,71.0,75.24,6834.52
2017-04-16,69.66,71.0,5084.62
2017-04-17,69.71,69.66,11106.63
2017-04-18,70.0,69.71,8154.75
2017-04-19,65.96,70.0,8027.96
2017-04-20,68.83,65.96,8159.67
2017-04-21,68.0,68.83,3904.74
2017-04-22,68.53,68.0,4484.33
2017-04-23,67.58,68.53,3226.53
2017-04-24,69.9,67.58,3333.84
2017-04-25,72.5,69.9,17774.77
2017-04-26,78.4,72.5,10143.53
2017-04-27,85.0,78.4,12067.43
2017-04-28,96.0,85.0,13405.36
2017-04-29,92.72,96.0,18888.78
2017-04-30,87.06,92.72,31757.61
2017-05-01,93.5,87.06,18718.79
2017-05-02,92.93,93.5,19842.63
2017-05-03,98.75,92.93,16888.04
2017-05-04,100.25,98.75,17384.68
2017-05-05,105.32,100.25,9936.23
2017-05-06,95.0,105.32,12068.1
2017-05-07,103.25,95.0,11139.35
2017-05-08,94.39,103.25,18187.62
2017-05-09,96.89,94.39,9315.16
2017-05-10,93.52,96.89,7253.29
2017-05-11,96.52,93.52,7266.33
2017-05-12,95.75,96.52,3900.21
2017-05-13,95.95,95.75,4048.49
2017-05-14,94.0,95.95,3959.83
2017-05-15,91.32,94.0,3244.94
2017-05-16,92.97,91.32,4128.21
2017-05-17,94.27,92.97,6967.09
2017-05-18,103.82,94.27,11949.62
2017-05-19,104.85,103.82,5245.49
2017-05-20,118.34,104.85,12787.22
2017-05-21,198.77,118.34,55306.4
2017-05-22,231.79,198.77,30883.42
2017-05-23,232.2,231.79,21958.05
2017-05-24,216.74,232.2,27327.15
2017-05-25,200.0,216.74,23700.85
2017-05-26,180.99,200.0,31236.82
2017-05-27,190.42,180.99,15982.22
2017-05-28,201.96,190.42,13900.93
2017-05-29,223.73,201.96,20651.36
2017-05-30,231.36,223.73,12926.95
2017-05-31,245.73,231.36,13107.1
2017-06-01,237.83,245.73,7571.59
2017-06-02,225.94,237.83,7083.74
2017-06-03,238.87,225.94,5204.78
2017-06-04,246.46,238.87,15907.78
2017-06-05,256.8,246.46,15679.89
2017-06-06,264.69,256.8,28258.09
2017-06-07,270.26,264.69,12401.96
2017-06-08,279.03,270.26,7114.22
2017-06-09,321.01,279.03,15234.11
2017-06-10,324.01,321.01,14589.8
2017-06-11,301.93,324.01,26150.32
2017-06-12,364.42,301.93,18402.54
2017-06-13,381.92,364.42,38060.77
2017-06-14,394.77,381.92,44899.1
2017-06-15,381.03,394.77,22099.63
2017-06-16,394.21,381.03,17049.01
2017-06-17,369.01,394.21,12374.14
2017-06-18,401.68,369.01,9561.63
2017-06-19,410.68,401.68,21056.65
2017-06-20,381.34,410.68,15568.27
2017-06-21,379.23,381.34,9551.87
2017-06-22,374.68,379.23,4787.2
2017-06-23,351.35,374.68,6995.48
2017-06-24,313.92,351.35,12472.72
2017-06-25,295.92,313.92,24716.06
2017-06-26,335.58,295.92,29796.61
2017-06-27,336.91,335.58,15664.18
2017-06-28,313.57,336.91,20561.41
2017-06-29,291.72,313.57,16098.94
2017-06-30,275.39,291.72,14699.87
2017-07-01,293.63,275.39,15320.69
2017-07-02,288.91,293.63,14402.17
2017-07-03,281.63,288.91,16475.75
2017-07-04,282.44,281.63,13632.49
2017-07-05,285.91,282.44,16248.95
2017-07-06,248.06,285.91,19201.23
2017-07-07,249.8,248.06,14701.98
2017-07-08,241.43,249.8,11413.37
2017-07-09,196.09,241.43,28207.63
2017-07-10,176.76,196.09,37732.08
2017-07-11,211.4,176.76,23575.39
2017-07-12,194.59,211.4,12971.98
2017-07-13,177.06,194.59,12612.42
2017-07-14,160.34,177.06,16273.67
2017-07-15,163.34,160.34,28764.18
2017-07-16,179.21,163.34,25405.79
2017-07-17,200.07,179.21,35852.55
2017-07-18,181.23,200.07,27161.07
2017-07-19,209.58,181.23,31181.39
2017-07-20,203.65,209.58,17716.53
2017-07-21,218.97,203.65,12089.07
2017-07-22,211.88,218.97,22565.53
2017-07-23,210.78,211.88,15813.91
2017-07-24,186.7,210.78,32491.07
2017-07-25,189.18,186.7,28620.33
2017-07-26,186.74,189.18,18675.01
2017-07-27,175.5,186.74,22557.18
2017-07-28,186.02,175.5,19979.85
2017-07-29,173.54,186.02,16613.83
2017-07-30,172.29,173.54,18628.38
2017-07-31,189.89,172.29,29801.99
2017-08-01,188.7,189.89,26636.88
2017-08-02,187.94,188.7,16533.09
2017-08-03,186.64,187.94,16132.44
2017-08-04,205.53,186.64,33823.59
2017-08-05,208.12,205.53,19593.18
2017-08-06,208.4,208.12,23843.79
2017-08-07,247.89,208.4,43816.57
2017-08-08,241.86,247.89,45976.95
2017-08-09,231.75,241.86,24706.97
