timeDate,close,open,volumefrom
2015-08-06,3.0,0.6747,123.93
2015-08-07,1.2,3.0,2119.43
2015-08-08,1.2,1.2,0.0
2015-08-09,1.2,1.2,0.0
2015-08-10,0.99,1.2,9486.09
2015-08-11,1.29,0.99,2140.46
2015-08-12,1.88,1.29,3163.29
2015-08-13,1.79,1.88,5800.73
2015-08-14,1.79,1.79,8711.24
2015-08-15,1.37,1.79,9714.19
2015-08-16,1.3,1.37,4325.42
2015-08-17,1.36,1.3,2390.72
2015-08-18,1.24,1.36,4131.9
2015-08-19,1.52,1.24,1273.0
2015-08-20,1.44,1.52,6310.99
2015-08-21,1.4,1.44,229.59
2015-08-22,1.35,1.4,323.11
2015-08-23,1.24,1.35,5117.98
2015-08-24,1.27,1.24,938.92
2015-08-25,1.18,1.27,2043.44
2015-08-26,1.14,1.18,230.3
2015-08-27,1.3,1.14,20767.1
2015-08-28,1.18,1.3,329.64
2015-08-29,1.32,1.18,8505.13
2015-08-30,1.31,1.32,3258.74
2015-08-31,1.36,1.31,894.21
2015-09-01,1.14,1.36,519.87
2015-09-02,1.23,1.14,2872.93
2015-09-03,1.35,1.28,15.39
2015-09-04,1.37,1.23,7881.76
2015-09-05,1.34,1.37,111.78
2015-09-06,1.28,1.34,393.9
2015-09-07,1.26,1.28,82.23
2015-09-08,1.21,1.26,21.42
2015-09-09,1.19,1.21,2866.95
2015-09-10,0.9242,1.19,2877.26
2015-09-11,1.15,0.9242,509.27
2015-09-12,0.8856,1.15,3917.32
2015-09-13,0.955,0.8856,870.32
2015-09-14,0.95,0.955,2558.87
2015-09-15,0.9363,0.95,49.44
2015-09-16,0.875,0.9363,151.36
2015-09-17,0.8523,0.875,684.62
2015-09-18,0.89,0.8523,4.32
2015-09-19,0.8871,0.89,13.92
2015-09-20,0.9412,0.8871,179.51
2015-09-21,0.8059,0.9412,199.71
2015-09-22,0.91,0.8059,14.71
2015-09-23,0.8,0.91,690.58
2015-09-24,0.6823,0.8,2933.0
2015-09-25,0.7703,0.6823,79.54
2015-09-26,0.7008,0.7703,14.55
2015-09-27,0.6,0.7008,5565.17
2015-09-28,0.6816,0.6,20404.67
2015-09-29,0.7137,0.6816,736.83
2015-09-30,0.6548,0.7137,654.4
2015-10-01,0.6647,0.6548,400.99
2015-10-02,0.6796,0.6647,51.02
2015-10-03,0.6095,0.6796,791.61
2015-10-04,0.6078,0.6095,55.74
2015-10-05,0.6511,0.6078,24.17
2015-10-06,0.6,0.6511,2025.65
2015-10-07,0.62,0.6,5755.79
2015-10-08,0.6352,0.62,2199.18
2015-10-09,0.6351,0.75,0.0
2015-10-10,0.5993,0.6352,14.4
2015-10-11,0.63,0.5993,21.12
2015-10-12,0.6017,0.63,767.84
2015-10-13,0.5,0.6017,2761.81
2015-10-14,0.56,0.5,256.3
2015-10-15,0.525,0.56,399.96
2015-10-16,0.523,0.525,1591.58
2015-10-17,0.505,0.523,1039.88
2015-10-18,0.5,0.505,1562.1
2015-10-19,0.44,0.5,1480.51
2015-10-20,0.42,0.44,1627.75
2015-10-21,0.609,0.42,3339.9
2015-10-22,0.5649,0.609,3807.21
2015-10-23,0.5561,0.5649,296.28
2015-10-24,0.62,0.5561,1436.0
2015-10-25,0.706,0.62,1777.47
2015-10-26,0.83,0.706,2123.87
2015-10-27,0.99,0.83,4983.13
2015-10-28,1.12,0.99,4424.45
2015-10-29,1.14,1.12,3523.16
2015-10-30,0.8676,1.14,822.97
2015-10-31,0.99,0.8676,186.43
2015-11-01,0.9878,0.99,7199.5
2015-11-02,1.06,0.9878,6169.75
2015-11-03,0.799,1.06,5884.47
2015-11-04,0.8764,0.799,1214.52
2015-11-05,0.9899,0.8764,3228.49
2015-11-06,0.93,0.9899,1347.58
2015-11-07,1.0,0.93,3145.98
2015-11-08,0.998,1.0,8592.57
2015-11-09,0.9,0.998,7729.17
2015-11-10,0.75,0.9,11933.21
2015-11-11,0.88,0.75,2346.43
2015-11-12,0.9,0.88,1866.15
2015-11-13,0.88,0.9,524.56
2015-11-14,0.9193,0.88,857.27
2015-11-15,0.925,0.9193,3010.0
2015-11-16,1.0,0.925,9307.01
2015-11-17,0.9973,1.0,3368.62
2015-11-18,0.94,0.9973,1252.29
2015-11-19,0.92,0.94,165.69
2015-11-20,0.96,0.92,390.35
2015-11-21,0.97,0.96,241.87
2015-11-22,0.92,0.97,818.33
2015-11-23,0.91,0.92,591.67
2015-11-24,0.87,0.91,3152.27
2015-11-25,0.86,0.87,5503.36
2015-11-26,0.88,0.86,808.67
2015-11-27,0.91,0.88,1066.31
2015-11-28,0.87,0.91,2708.13
2015-11-29,0.88,0.87,451.72
2015-11-30,0.87,0.88,2868.99
2015-12-01,0.82,0.87,3975.37
2015-12-02,0.83,0.82,1120.65
2015-12-03,0.84,0.83,641.7
2015-12-04,0.8699,0.84,925.93
2015-12-05,0.825,0.8699,895.02
2015-12-06,0.79,0.825,1633.24
2015-12-07,0.8102,0.79,6806.09
2015-12-08,0.8051,0.8102,9646.13
2015-12-09,0.8437,0.8051,7073.4
2015-12-10,0.8998,0.8437,7043.09
2015-12-11,0.96,0.8998,5300.39
2015-12-12,0.9199,0.96,1038.47
2015-12-13,0.99,0.9199,4590.34
2015-12-14,1.0,0.99,8104.04
2015-12-15,0.803,1.0,6132.75
2015-12-16,0.94,0.803,619.15
2015-12-17,0.9,0.94,410.08
2015-12-18,0.8935,0.9,2375.25
2015-12-19,1.07,0.8935,1453.06
2015-12-20,0.91,1.07,2589.86
2015-12-21,0.88,0.91,8987.25
2015-12-22,0.8709,0.88,562.86
2015-12-23,0.87,0.8709,1412.67
2015-12-24,0.88,0.87,365.16
2015-12-25,0.853,0.88,2826.94
2015-12-26,0.918,0.853,1358.1
2015-12-27,0.8749,0.918,4168.63
2015-12-28,0.86,0.8749,531.31
2015-12-29,0.8925,0.86,4377.1
2015-12-30,0.9488,0.8925,813.44
2015-12-31,0.92,0.9488,47.26
2016-01-01,0.9547,0.92,72.45
2016-01-02,0.96,0.9547,502.24
2016-01-03,0.95,0.96,828.89
2016-01-04,0.9426,0.95,777.37
2016-01-05,0.95,0.9426,1120.47
2016-01-06,0.94,0.95,1694.99
2016-01-07,0.985,0.94,7059.36
2016-01-08,0.985,0.985,3073.76
2016-01-09,1.0,0.985,1684.6
2016-01-10,1.08,1.0,8518.36
2016-01-11,1.22,1.08,23690.96
2016-01-12,1.14,1.22,8237.02
2016-01-13,1.16,1.14,1789.57
2016-01-14,1.2,1.16,6977.01
2016-01-15,1.22,1.2,6771.31
2016-01-16,1.31,1.22,1812.03
2016-01-17,1.47,1.31,33753.13
2016-01-18,1.22,1.47,3029.93
2016-01-19,1.54,1.22,5144.5
2016-01-20,1.54,1.54,26653.2
2016-01-21,1.52,1.54,7469.08
2016-01-22,2.03,1.52,26875.07
2016-01-23,2.1,2.03,64291.7
2016-01-24,2.5,2.1,21843.54
2016-01-25,2.3,2.5,44655.38
2016-01-26,2.42,2.3,16352.69
2016-01-27,2.55,2.42,6391.94
2016-01-28,2.41,2.55,27250.81
2016-01-29,2.44,2.41,3454.35
2016-01-30,2.2,2.44,16657.76
2016-01-31,2.17,2.2,12842.99
2016-02-01,2.45,2.17,9160.08
2016-02-02,2.53,2.45,7322.15
2016-02-03,2.57,2.53,14966.85
2016-02-04,2.56,2.57,10524.85
2016-02-05,2.53,2.56,5812.71
2016-02-06,3.0,2.53,17649.92
2016-02-07,3.16,3.0,22654.68
2016-02-08,3.76,3.16,31113.41
2016-02-09,4.35,3.76,100147.95
2016-02-10,6.38,4.35,47440.31
2016-02-11,5.27,6.38,57897.35
2016-02-12,5.22,5.27,63405.7
2016-02-13,5.2,5.22,21713.64
2016-02-14,5.22,5.2,29632.21
2016-02-15,4.25,5.22,32789.19
2016-02-16,3.86,4.25,48722.06
2016-02-17,4.36,3.86,39288.63
2016-02-18,4.45,4.36,15018.41
2016-02-19,4.37,4.45,13675.44
2016-02-20,4.63,4.37,21988.0
2016-02-21,5.6,4.63,36144.92
2016-02-22,5.7,5.6,29377.55
2016-02-23,6.23,5.7,34361.9
2016-02-24,5.93,6.23,48900.99
2016-02-25,6.03,5.93,15761.77
2016-02-26,6.31,6.03,30540.52
2016-02-27,6.5,6.31,13763.78
2016-02-28,6.35,6.5,16461.91
2016-02-29,7.59,6.35,61216.63
2016-03-01,8.7,7.59,58610.55
2016-03-02,9.35,8.7,92235.14
2016-03-03,9.96,9.35,96041.71
2016-03-04,11.0,9.96,162772.84
2016-03-05,10.98,11.0,77857.94
2016-03-06,9.5,10.98,73179.54
2016-03-07,9.88,9.5,63297.67
2016-03-08,11.55,9.88,52861.7
2016-03-09,11.11,11.55,65387.74
2016-03-10,11.25,11.11,30110.04
2016-03-11,13.25,11.25,131596.36
2016-03-12,15.0,13.25,111671.2
2016-03-13,12.5,15.0,143394.1
2016-03-14,13.09,12.5,79587.79
2016-03-15,12.92,13.09,44790.6
2016-03-16,11.14,12.92,127514.65
2016-03-17,10.75,11.14,168849.2
2016-03-18,10.55,10.75,48704.1
2016-03-19,10.06,10.55,47028.95
2016-03-20,11.97,10.06,73367.01
2016-03-21,10.96,11.97,63118.64
