timeDate,close,open,volumefrom
2013-10-23,3.0,3.0,2.71
2013-10-24,3.0,3.0,0.0
2013-10-25,3.0,3.0,0.0
2013-10-26,3.0,3.0,0.0
2013-10-27,3.0,3.0,0.0
2013-10-28,3.0,3.0,0.0
2013-10-29,3.0,3.0,0.0
2013-10-30,3.0,3.0,0.0
2013-10-31,3.0,3.0,0.0
2013-11-01,3.0,3.0,0.0
2013-11-02,3.0,3.0,0.0
2013-11-03,3.0,3.0,7.27
2013-11-04,3.0,3.0,0.0
2013-11-05,3.0,3.0,0.0
2013-11-06,3.2,3.0,9.0
2013-11-07,3.2,3.2,0.8219
2013-11-08,3.2,3.2,0.0
2013-11-09,3.2,3.2,0.0
2013-11-10,3.2,3.2,0.0
2013-11-11,3.2,3.2,0.0
2013-11-12,5.0,3.2,225.75
2013-11-13,3.0,5.0,12.0
2013-11-14,5.0,3.0,10.06
2013-11-15,4.25,5.0,5.07
2013-11-16,4.25,4.25,0.0
2013-11-17,5.0,4.25,5.0
2013-11-18,9.0,5.0,29.14
2013-11-19,9.0,9.0,2.47
2013-11-20,9.0,9.0,94.53
2013-11-21,10.0,9.0,63.81
2013-11-22,12.8,10.0,2577.36
2013-11-23,10.0,12.8,7.62
2013-11-24,12.0,10.0,183.41
2013-11-25,20.5,12.0,504.89
2013-11-26,35.99,20.5,457.22
2013-11-27,46.1,35.99,242.02
2013-11-28,41.0,46.1,292.59
2013-11-29,41.0,41.0,148.71
2013-11-30,35.3,41.0,50.11
2013-12-01,33.51,35.3,103.24
2013-12-02,33.0,33.51,208.13
2013-12-03,32.2,33.0,571.7
2013-12-04,38.0,32.2,700.64
2013-12-05,32.0,38.0,200.96
2013-12-06,22.78,32.0,334.46
2013-12-07,27.93,22.78,77.34
2013-12-08,31.98,27.93,116.9
2013-12-09,35.26,31.98,215.22
2013-12-10,31.57,35.26,428.65
2013-12-11,31.0,31.57,46.32
2013-12-12,30.59,31.0,127.04
2013-12-13,30.01,30.59,114.72
2013-12-14,30.92,30.01,251.9
2013-12-15,25.77,30.92,123.09
2013-12-16,23.74,25.77,223.59
2013-12-17,13.0,23.74,1001.01
2013-12-18,19.8,13.0,41.36
2013-12-19,18.85,19.8,59.73
2013-12-20,17.13,18.85,9.36
2013-12-21,18.0,17.13,133.66
2013-12-22,17.2,18.0,229.36
2013-12-23,18.0,17.2,53.75
2013-12-24,22.06,18.0,310.75
2013-12-25,24.97,22.06,1008.08
2013-12-26,22.06,24.97,317.59
2013-12-27,22.33,22.06,12.11
2013-12-28,24.51,22.33,39.77
2013-12-29,24.96,24.51,187.11
2013-12-30,23.55,24.96,12.77
2013-12-31,24.77,23.55,84.96
2014-01-01,26.6,24.77,192.65
2014-01-02,25.49,26.6,32.6
2014-01-03,24.05,25.49,17.32
2014-01-04,26.01,24.05,611.0
2014-01-05,28.7,26.01,455.47
2014-01-06,23.0,28.7,364.33
2014-01-07,24.9,23.0,239.07
2014-01-08,24.5,24.9,15.93
2014-01-09,24.06,24.5,35.93
2014-01-10,26.35,24.06,76.86
2014-01-11,25.39,26.35,86.59
2014-01-12,25.01,25.39,823.56
2014-01-13,24.52,25.01,8.85
2014-01-14,24.52,24.52,19.19
2014-01-15,24.01,24.52,71.97
2014-01-16,24.0,24.01,101.41
2014-01-17,24.94,24.0,518.55
2014-01-18,24.9,24.94,13.63
2014-01-19,24.28,24.9,21.2
2014-01-20,25.49,24.28,168.54
2014-01-21,23.0,25.49,53.46
2014-01-22,22.3,23.0,125.27
2014-01-23,21.05,22.3,285.06
2014-01-24,22.26,21.05,136.44
2014-01-25,22.34,22.26,319.66
2014-01-26,20.78,22.34,443.6
2014-01-27,22.88,20.78,81.21
2014-01-28,21.7,22.88,100.49
2014-01-29,20.72,21.7,9.14
2014-01-30,21.59,20.72,52.26
2014-01-31,21.46,21.59,32.25
2014-02-01,21.87,21.46,11.26
2014-02-02,21.41,21.87,4.63
2014-02-03,21.07,21.41,66.13
2014-02-04,21.2,21.07,153.81
2014-02-05,19.8,21.2,52.34
2014-02-06,18.89,19.8,101.31
2014-02-07,17.5,18.89,180.81
2014-02-08,18.7,17.5,95.0
2014-02-09,17.9,18.7,329.83
2014-02-10,16.3,17.9,344.8
2014-02-11,19.49,16.3,28.01
2014-02-12,16.42,19.49,181.79
2014-02-13,16.76,16.42,86.08
2014-02-14,16.28,16.76,1.4
2014-02-15,15.23,16.28,11.69
2014-02-16,15.76,15.23,25.3
2014-02-17,17.28,15.76,52.57
2014-02-18,15.83,17.28,8.17
2014-02-19,15.95,15.83,234.94
2014-02-20,14.89,15.95,118.62
2014-02-21,13.32,14.89,31.54
2014-02-22,15.0,13.32,104.95
2014-02-23,15.22,15.0,121.65
2014-02-24,14.42,15.22,654.62
2014-02-25,15.85,14.42,629.06
2014-02-26,14.84,15.85,139.35
2014-02-27,15.05,14.84,157.28
2014-02-28,13.54,15.05,18.42
2014-03-01,12.86,13.54,9.64
2014-03-02,14.24,12.86,152.66
2014-03-03,17.11,14.24,465.21
2014-03-04,17.34,17.11,61.57
2014-03-05,16.82,17.34,45.89
2014-03-06,16.89,16.82,73.27
2014-03-07,15.56,16.89,4.39
2014-03-08,16.16,15.56,56.39
2014-03-09,16.21,16.16,132.54
2014-03-10,16.22,16.21,2.52
2014-03-11,17.75,16.22,200.96
2014-03-12,17.78,17.75,46.22
2014-03-13,17.0,17.78,17.02
2014-03-14,17.16,17.0,7.01
2014-03-15,17.18,17.16,6.94
2014-03-16,17.89,17.18,20.6
2014-03-17,20.0,17.89,261.65
2014-03-18,18.1,20.0,159.86
